state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Uttar Pradesh,age_18_21,09,18.6412,18.3528,18.4164,2.9497,35.5117,12.0902,81.3588,81.6472,81.5836,97.0503,64.4883,87.9098
Uttar Pradesh,age_22_25,09,22.1035,18.1969,21.117,2.7179,37.6308,13.9766,77.8965,81.8031,78.883,97.2821,62.3692,86.0234
Uttar Pradesh,age_26_29,09,25.7268,18.7849,25.3177,2.8177,41.988,17.874,74.2732,81.2151,74.6823,97.1823,58.012,82.126
Uttar Pradesh,age_30_33,09,29.3398,21.2534,29.0986,3.0125,46.2614,20.0902,70.6602,78.7466,70.9014,96.9875,53.7386,79.9098
Uttar Pradesh,age_34_plus,09,45.4835,24.7266,41.1778,4.2063,54.8882,29.8215,54.5165,75.2734,58.8222,95.7937,45.1118,70.1785
Bihar,age_below10,10,81.1703,77.0796,84.2229,71.8059,86.7409,78.2273,18.8297,22.9204,15.7771,28.1941,13.2591,21.7727
Bihar,age_10_13,10,18.6916,20.0667,31.4185,4.9858,42.1506,16.7173,81.3084,79.9333,68.5815,95.0142,57.8494,83.2827
Bihar,age_14_17,10,17.5258,17.9126,28.1341,4.2484,40.7868,12.1453,82.4742,82.0874,71.8659,95.7516,59.2132,87.8547
Bihar,age_18_21,10,18.0693,17.5423,27.7031,6.9061,40.276,10.9589,81.9307,82.4577,72.2969,93.0939,59.724,89.0411
Bihar,age_22_25,10,21.3731,18.4529,29.9175,3.2366,41.2533,11.4497,78.6269,81.5471,70.0825,96.7634,58.7467,88.5503
Bihar,age_26_29,10,25.4076,22.8751,34.4554,3.438,45.335,8.5489,74.5924,77.1249,65.5446,96.562,54.665,91.4511
Bihar,age_30_33,10,25.6449,25.0651,39.4223,1.6234,49.4843,12.3457,74.3551,74.9349,60.5777,98.3766,50.5157,87.6543
Bihar,age_34_plus,10,35.2194,27.8912,47.0027,3.7634,54.1994,14.6328,64.7806,72.1088,52.9973,96.2366,45.8006,85.3672
Sikkim,age_below10,11,78.3782,78.3904,78.728,70.0,79.4643,75.0,21.6218,21.6096,21.272,30.0,20.5357,25.0
Sikkim,age_10_13,11,15.353,12.2816,14.0728,0.0,33.0882,5.8824,84.647,87.7184,85.9272,100.0,66.9118,94.1176
Sikkim,age_14_17,11,12.2929,9.5593,12.0701,0.0,38.1743,9.5238,87.7071,90.4407,87.9299,100.0,61.8257,90.4762
Sikkim,age_18_21,11,13.3403,10.7311,14.052,0.0,37.8049,1.4706,86.6597,89.2689,85.948,100.0,62.1951,98.5294
Sikkim,age_22_25,11,13.6233,11.1362,13.3718,14.2857,39.0667,0.0,86.3767,88.8638,86.6282,85.7143,60.9333,100.0
Sikkim,age_26_29,11,14.3732,13.7549,14.4685,0.0,44.0922,0.5155,85.6268,86.2451,85.5315,100.0,55.9078,99.4845
Sikkim,age_30_33,11,19.7755,14.6998,16.8094,0.0,40.4806,1.1111,80.2245,85.3002,83.1906,100.0,59.5194,98.8889
Sikkim,age_34_plus,11,41.4237,31.9202,36.382,9.7561,42.117,2.8037,58.5763,68.0798,63.618,90.2439,57.883,97.1963
Arunachal Pradesh,age_below10,12,85.2077,85.9311,81.0604,64.8649,83.9875,73.6842,14.7923,14.0689,18.9396,35.1351,16.0125,26.3158
Arunachal Pradesh,age_10_13,12,31.7986,32.6456,22.5528,22.2222,36.5736,13.1579,68.2014,67.3544,77.4472,77.7778,63.4264,86.8421
Arunachal Pradesh,age_14_17,12,29.4529,22.1054,19.1373,0.0,29.4311,10.0,70.5471,77.8946,80.8627,100.0,70.5689,90.0
Arunachal Pradesh,age_18_21,12,32.7112,22.5356,22.4608,0.0,33.4513,4.0,67.2888,77.4644,77.5392,100.0,66.5487,96.0
Arunachal Pradesh,age_22_25,12,35.7458,26.918,19.8838,10.0,29.8307,1.1111,64.2542,73.082,80.1162,90.0,70.1693,98.8889
Arunachal Pradesh,age_26_29,12,39.1091,32.5197,22.3042,11.1111,31.7382,2.193,60.8909,67.4803,77.6958,88.8889,68.2618,97.807
Arunachal Pradesh,age_30_33,12,43.023,37.1157,21.3843,0.0,31.0165,1.5873,56.977,62.8843,78.6157,100.0,68.9835,98.4127
