state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Lakshadweep,age_18_21,31,9.3988,11.9883,40.3765,44.7368,50.0822,50.0822,2.8783,97.1217,49.9178
Lakshadweep,age_22_25,31,11.1688,11.9883,40.3765,,,,3.5088,96.4912,
Lakshadweep,age_26_29,31,11.9125,52.4516,70.3963,,,,3.3288,96.6712,
Lakshadweep,age_30_33,31,12.5397,89.0411,89.5968,,,,4.1096,95.8904,
Lakshadweep,age_34_plus,31,27.2483,93.3765,82.4274,,,,12.4824,87.5176,
Lakshadweep,age_below10,31,98.9975,0.0,0.0,81.3822,18.588,18.588,75.7594,24.2406,81.412
Kerala,age_10_13,32,41.1693,0.3349,0.6811,83.3801,15.4777,15.4777,10.0404,89.9596,84.5223
Kerala,age_14_17,32,14.3338,1.8128,9.3329,54.4787,33.3741,33.3741,10.0806,89.9194,66.6259
Kerala,age_18_21,32,16.8067,26.3087,46.4878,19.3771,45.6863,45.6863,11.8297,88.1703,54.3137
Kerala,age_22_25,32,17.2164,26.3087,46.4878,,,,13.8396,86.1604,
Kerala,age_26_29,32,20.5105,65.4107,73.3521,,,,21.3715,78.6285,
Kerala,age_30_33,32,23.1496,85.2079,84.7692,,,,27.9192,72.0808,
Kerala,age_34_plus,32,37.3475,90.4845,79.8804,,,,49.1065,50.8935,
Kerala,age_below10,32,96.9989,0.0,0.0,67.5594,32.1381,32.1381,79.0324,20.9676,67.8619
Tamil Nadu,age_10_13,33,28.5745,0.7753,1.4028,67.2088,23.9565,23.9565,23.5678,76.4322,76.0435
Tamil Nadu,age_14_17,33,9.7686,4.2037,17.5708,41.4195,26.2386,26.2386,28.4986,71.5014,73.7614
Tamil Nadu,age_18_21,33,9.4488,43.5073,65.1573,18.0923,27.9187,27.9187,32.9279,67.0721,72.0813
Tamil Nadu,age_22_25,33,8.726,43.5073,65.1573,,,,37.0627,62.9373,
Tamil Nadu,age_26_29,33,10.4667,81.8,87.7778,,,,47.9719,52.0281,
Tamil Nadu,age_30_33,33,12.1655,93.8829,93.5866,,,,56.8228,43.1772,
Tamil Nadu,age_34_plus,33,17.2669,92.4876,84.4585,,,,69.8096,30.1904,
Tamil Nadu,age_below10,33,93.1965,0.0,0.0,63.2084,34.8635,34.8635,77.3157,22.6843,65.1365
Andaman & Nicobar Islands,age_10_13,35,43.7768,0.1806,0.2508,82.4484,16.7404,16.7404,14.0855,85.9145,83.2596
Andaman & Nicobar Islands,age_14_17,35,11.2918,0.3927,2.0033,63.8315,28.2411,28.2411,8.5879,91.4121,71.7589
Andaman & Nicobar Islands,age_18_21,35,8.5145,12.006,24.2841,36.3344,44.6945,44.6945,11.254,88.746,55.3055
Andaman & Nicobar Islands,age_22_25,35,7.1186,12.006,24.2841,,,,12.006,87.994,
Andaman & Nicobar Islands,age_26_29,35,7.2,47.7307,57.8947,,,,14.9017,85.0983,
Andaman & Nicobar Islands,age_30_33,35,8.0906,71.4286,76.5781,,,,19.7403,80.2597,
Andaman & Nicobar Islands,age_34_plus,35,15.3618,83.7689,80.6118,,,,42.4242,57.5758,
Andaman & Nicobar Islands,age_below10,35,97.3958,0.0,0.0,53.1688,46.6978,46.6978,79.5018,20.4982,53.3022
