state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,0.0,4.1064,95.8936,86.5552
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,0.0,6.1808,93.8192,69.6378
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
