state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male
Punjab,age_34_plus,3,9.6774,7.2537,5.646,2.3308,11.7971,6.5975,69.1245,34.5197,76.6645,56.4884,51.2836,28.462,9.3133,2.5274,84.8162,62.937,62.6424,43.0986,30.8755,65.4803,23.3355,43.5116,48.7164,71.538,90.6867,97.4726,15.1838,37.063,37.3576,56.9014,15.2445,15.6658,16.621,10.8207,12.8533,16.1488,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Chandigarh,age_below10,4,100.0,99.3056,97.7162,100.0,97.4138,97.9035,64.0,71.5909,76.6234,73.6686,74.483,73.3208,73.5632,66.8342,77.8995,75.5752,66.5963,65.8814,36.0,28.4091,23.3766,26.3314,25.517,26.6792,26.4368,33.1658,22.1005,24.4248,33.4037,34.1186,0.0,0.0,0.0,0.0,0.0,0.0,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_10_13,4,32.0755,36.8821,38.2277,17.7215,49.6302,29.9176,3.6364,7.4074,10.8475,7.837,10.352,8.1195,2.4691,0.0,17.9366,16.1514,2.4112,2.3623,96.3636,92.5926,89.1525,92.163,89.648,91.8805,97.5309,100.0,82.0634,83.8486,97.5888,97.6377,3.7736,6.0837,7.2666,11.3924,4.2728,8.734,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_14_17,4,3.9216,2.3529,3.8699,0.0,8.3243,1.5236,3.7736,2.7397,14.1414,5.7971,9.3504,9.7913,1.9417,0.0,19.0726,21.2329,2.2989,1.7753,96.2264,97.2603,85.8586,94.2029,90.6496,90.2087,98.0583,100.0,80.9274,78.7671,97.7011,98.2247,35.2941,43.1373,40.7291,36.6337,35.4595,43.0858,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_18_21,4,1.1236,2.1739,2.1887,0.0,4.0767,0.8191,2.1978,2.0833,14.2857,10.7527,13.6878,12.8746,0.0,0.0,25.5357,28.1879,2.4322,2.4421,97.8022,97.9167,85.7143,89.2473,86.3122,87.1254,100.0,100.0,74.4643,71.8121,97.5678,97.5579,5.618,18.8406,12.3774,2.0,26.3789,7.5142,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_22_25,4,0.7752,4.0115,2.2743,0.7634,6.0116,0.6519,3.7313,2.8902,15.4964,6.7538,21.8959,12.2582,1.5038,2.8169,38.9986,27.6943,4.1174,2.3511,96.2687,97.1098,84.5036,93.2462,78.1041,87.7418,98.4962,97.1831,61.0014,72.3057,95.8826,97.6489,4.6512,8.3095,11.0743,0.7634,20.0,6.1366,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_26_29,4,1.9608,1.8041,2.6193,0.0,10.3077,1.3085,13.5593,8.1395,11.0092,6.5217,29.8005,15.0619,2.0833,2.1053,54.2576,30.7073,5.5149,3.0491,86.4407,91.8605,88.9908,93.4783,70.1995,84.9381,97.9167,97.8947,45.7424,69.2927,94.4851,96.9509,7.8431,7.9897,12.0247,5.3191,14.6154,8.4711,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_30_33,4,0.0,1.6502,3.0532,0.0,8.2979,1.2868,20.6897,12.0,14.1643,6.7332,34.2842,17.6043,1.0417,1.1236,57.4661,36.5395,9.0772,3.7132,79.3103,88.0,85.8357,93.2668,65.7158,82.3957,98.9583,98.8764,42.5339,63.4605,90.9228,96.2868,17.3913,7.9208,12.4963,9.4737,15.9574,9.5475,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
Chandigarh,age_34_plus,4,3.4884,2.9867,3.8027,1.0288,12.3306,2.604,27.7311,6.993,17.8182,9.7852,35.7322,18.3953,6.7179,1.6187,72.2034,46.0595,20.206,7.3399,72.2689,93.007,82.1818,90.2148,64.2678,81.6047,93.2821,98.3813,27.7966,53.9405,79.794,92.6601,17.4419,10.177,12.3745,8.8477,11.3821,10.6869,16.3934,14.9007,12.4727,19.5531,11.1355,11.6013,4.6512,1.5736,5.6116,2.5126,7.1136,3.8254
State - UTTARANCHAL  05,age_below10,5,93.3099,96.3397,97.3701,95.2632,94.2556,96.5209,66.2708,66.7996,70.8493,69.2685,73.5775,72.9161,69.0554,70.6612,82.4515,79.6943,74.094,72.7389,33.7292,33.2004,29.1507,30.7315,26.4225,27.0839,30.9446,29.3388,17.5485,20.3057,25.906,27.2611,0.0,0.0,0.0,0.0,0.0,0.0,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
State - UTTARANCHAL  05,age_10_13,5,33.1361,35.7081,45.3421,19.5906,57.8325,42.7012,7.4818,3.6295,5.9641,4.5296,8.0455,3.9792,1.1561,1.0929,33.3293,22.1942,13.143,7.7108,92.5182,96.3705,94.0359,95.4704,91.9545,96.0208,98.8439,98.9071,66.6707,77.8058,86.857,92.2892,8.6785,11.3814,5.8873,19.883,4.4206,7.7498,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
State - UTTARANCHAL  05,age_14_17,5,4.5858,4.2039,6.2562,0.8621,20.2839,9.1073,4.9226,2.9377,6.2867,4.6904,10.9403,4.3481,0.8547,1.2788,41.5741,27.3151,18.4905,9.052,95.0774,97.0623,93.7133,95.3096,89.0597,95.6519,99.1453,98.7212,58.4259,72.6849,81.5095,90.948,33.284,43.1127,40.9831,38.7931,24.2461,37.564,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
State - UTTARANCHAL  05,age_18_21,5,3.6474,2.0513,3.9087,0.0,15.6526,5.9185,8.6111,3.3333,6.25,6.9272,16.1291,6.6278,2.7778,0.0,48.4146,31.3807,22.5902,10.4457,91.3889,96.6667,93.75,93.0728,83.8709,93.3722,97.2222,100.0,51.5854,68.6193,77.4098,89.5543,14.5897,15.5556,26.0823,1.7143,16.9111,20.0117,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
State - UTTARANCHAL  05,age_22_25,5,9.0278,2.1757,3.9853,0.5025,13.9467,5.6652,15.7895,7.5314,8.9871,8.2481,24.026,8.2946,3.632,1.3274,59.9579,34.1069,25.8397,11.8371,84.2105,92.4686,91.0129,91.7519,75.974,91.7054,96.368,98.6726,40.0421,65.8931,74.1603,88.1629,17.3611,10.1255,20.2053,1.5075,13.8204,16.7684,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
State - UTTARANCHAL  05,age_26_29,5,11.898,3.9461,6.1696,0.0,17.7129,6.3834,26.4583,7.799,13.4167,7.3338,34.9596,10.9105,3.3333,0.9231,69.3912,40.5027,35.8498,15.5505,73.5417,92.201,86.5833,92.6662,65.0404,89.0895,96.6667,99.0769,30.6088,59.4973,64.1502,84.4495,20.9632,10.7796,19.7711,2.8736,12.9604,18.6411,12.3751,11.1345,11.3294,4.5767,11.1681,10.7654,4.1462,2.5746,2.7876,2.6972,3.1153,2.6501
