state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Jammu & Kashmir,age_14_17,01,6.2835,9.4162,4.2401,3.4091,4.055,1.6515,16.933,20.7463,17.8867,15.3846,43.0579,5.6705,83.067,79.2537,82.1133,84.6154,56.9421,94.3295,41.3054,41.0546,45.4696,37.5,46.2454,49.5706
Jammu & Kashmir,age_18_21,01,3.7809,6.2241,2.8974,5.0,3.2048,1.5267,22.7919,21.7532,20.5166,9.0909,50.8297,6.2053,77.2081,78.2468,79.4834,90.9091,49.1703,93.7947,32.3316,31.5353,34.1701,15.0,24.1852,25.9825
Jammu & Kashmir,age_22_25,01,3.429,6.1483,2.3987,1.9048,2.6205,1.3052,32.3138,30.0,27.0688,16.0,59.9421,8.5018,67.6862,70.0,72.9312,84.0,40.0579,91.4982,25.0133,23.5081,28.9794,6.6667,20.3888,23.7012
Jammu & Kashmir,age_26_29,01,4.1652,5.7082,2.9335,0.0,2.8812,1.6118,45.1713,38.4115,35.4567,16.092,71.6075,11.8809,54.8287,61.5885,64.5433,83.908,28.3925,88.1191,19.6964,17.5476,26.7518,5.4795,20.1175,26.9516
Jammu & Kashmir,age_30_33,01,5.6143,6.1333,3.5808,1.2048,2.851,1.9386,60.5832,38.7255,43.0294,8.7912,78.0278,16.0774,39.4168,61.2745,56.9706,91.2088,21.9722,83.9226,18.362,17.6,23.934,4.8193,19.7841,28.1026
Jammu & Kashmir,age_34_plus,01,6.9297,6.8044,5.0496,1.7544,3.4655,4.34,83.4891,59.9708,65.4678,21.0162,87.574,41.3712,16.5109,40.0292,34.5322,78.9838,12.426,58.6288,14.9571,17.74,20.206,11.9883,16.9293,26.2514
Himachal Pradesh,age_below10,02,98.1828,97.7143,98.3829,96.5517,98.4656,98.2933,68.4805,73.8416,70.1252,67.0455,77.4148,68.6087,31.5195,26.1584,29.8748,32.9545,22.5852,31.3913,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,42.7756,33.3333,39.9652,24.0,55.1886,35.4422,2.9163,7.3684,3.5332,1.9608,21.7839,2.5173,97.0837,92.6316,96.4668,98.0392,78.2161,97.4827,4.7161,8.3333,5.1205,10.0,3.102,6.1653
Himachal Pradesh,age_14_17,02,7.7513,7.0866,4.3839,1.7857,10.8124,2.3977,3.6353,4.5113,5.2568,1.7544,29.2824,2.9764,96.3647,95.4887,94.7432,98.2456,70.7176,97.0236,42.2635,40.9449,41.4821,35.7143,30.293,42.5599
Himachal Pradesh,age_18_21,02,6.4917,3.5398,3.7619,0.0,6.5925,2.4115,7.476,11.0236,9.0355,5.5556,40.6132,5.0787,92.524,88.9764,90.9645,94.4444,59.3868,94.9213,23.5497,23.0088,19.0768,0.0,21.8427,14.8455
Himachal Pradesh,age_22_25,02,10.5552,5.7239,4.0405,0.0,6.5461,1.8611,15.1251,18.8525,13.6421,1.5152,44.7663,7.0723,84.8749,81.1475,86.3579,98.4848,55.2337,92.9277,15.3873,12.7946,15.8077,3.0769,18.7703,16.2512
Himachal Pradesh,age_26_29,02,13.0452,4.3919,6.0298,0.0,7.6885,3.0517,22.9417,24.1026,21.2949,5.1724,54.6457,11.9016,77.0583,75.8974,78.7051,94.8276,45.3543,88.0984,15.7663,13.5135,20.2413,3.6364,18.6012,19.1664
Himachal Pradesh,age_30_33,02,18.3697,7.3913,8.3916,0.0,11.6505,4.8664,33.3333,23.0769,30.3847,0.0,65.4556,18.0289,66.6667,76.9231,69.6153,100.0,34.5444,81.9711,14.8106,17.3913,19.7685,6.25,15.2104,18.75
