state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Dadra & Nagar Haveli,age_14_17,26,22.8261,12.1065,67.6056,19.0141,19.0141,0.0,80.9859
Dadra & Nagar Haveli,age_18_21,26,79.1837,53.1746,21.6216,63.5135,63.5135,0.0,36.4865
Dadra & Nagar Haveli,age_22_25,26,79.1837,53.1746,,,,,
Dadra & Nagar Haveli,age_26_29,26,93.1193,84.1438,,,,,
Dadra & Nagar Haveli,age_30_33,26,97.9021,97.6261,,,,,
Dadra & Nagar Haveli,age_34_plus,26,77.9817,86.7701,,,,,
Dadra & Nagar Haveli,age_below10,26,0.0,0.0,67.4312,32.5688,32.5688,0.0,67.4312
Maharashtra,age_10_13,27,1.0431,0.6685,88.522,9.7611,9.7611,0.0,90.2389
Maharashtra,age_14_17,27,20.7062,10.1307,65.771,25.2337,25.2337,0.0,74.7663
Maharashtra,age_18_21,27,77.6051,50.9769,30.1957,49.4734,49.4734,0.0,50.5266
Maharashtra,age_22_25,27,77.6051,50.9769,,,,,
Maharashtra,age_26_29,27,91.2128,80.9404,,,,,
Maharashtra,age_30_33,27,92.1056,92.0335,,,,,
Maharashtra,age_34_plus,27,72.6535,83.3038,,,,,
Maharashtra,age_below10,27,0.0,0.0,68.4142,31.3656,31.3656,0.0,68.6344
Andhra Pradesh,age_10_13,28,1.6733,1.0076,69.5349,19.8931,19.8931,0.0,80.1069
Andhra Pradesh,age_14_17,28,36.6224,19.0717,39.1177,33.3049,33.3049,0.0,66.6951
Andhra Pradesh,age_18_21,28,84.2193,64.317,15.6081,45.7568,45.7568,0.0,54.2432
Andhra Pradesh,age_22_25,28,84.2193,64.317,,,,,
Andhra Pradesh,age_26_29,28,92.6231,88.4273,,,,,
Andhra Pradesh,age_30_33,28,92.0028,93.6701,,,,,
Andhra Pradesh,age_34_plus,28,72.9557,83.1682,,,,,
Andhra Pradesh,age_below10,28,0.0,0.0,70.7437,28.3167,28.3167,0.0,71.6833
Karnataka,age_10_13,29,2.0288,1.3025,67.5428,25.694,25.694,0.0,74.306
Karnataka,age_14_17,29,24.6115,12.5705,41.4262,39.9717,39.9717,0.0,60.0283
Karnataka,age_18_21,29,76.5162,50.4939,15.108,57.0307,57.0307,0.0,42.9693
Karnataka,age_22_25,29,76.5162,50.4939,,,,,
Karnataka,age_26_29,29,90.5204,79.6846,,,,,
Karnataka,age_30_33,29,90.9917,90.3985,,,,,
Karnataka,age_34_plus,29,71.3844,82.5216,,,,,
Karnataka,age_below10,29,0.0,0.0,56.7641,42.5647,42.5647,0.0,57.4353
Goa,age_10_13,30,0.9274,0.7235,88.8781,9.6712,9.6712,0.0,90.3288
Goa,age_14_17,30,14.1397,7.486,64.2458,28.7151,28.7151,0.0,71.2849
Goa,age_18_21,30,47.5294,32.3095,24.4898,60.8534,60.8534,0.0,39.1466
Goa,age_22_25,30,47.5294,32.3095,,,,,
Goa,age_26_29,30,76.9293,62.3861,,,,,
Goa,age_30_33,30,86.8817,82.7639,,,,,
Goa,age_34_plus,30,67.512,79.759,,,,,
Goa,age_below10,30,0.0,0.0,74.0236,25.8856,25.8856,0.0,74.1144
Kerala,age_10_13,32,0.8332,0.5172,97.0307,2.7373,2.7373,0.0,97.2627
Kerala,age_14_17,32,10.7943,5.873,76.3386,20.2306,20.2306,0.0,79.7694
Kerala,age_18_21,32,52.2463,32.7182,32.2696,56.5927,56.5927,0.0,43.4073
Kerala,age_22_25,32,52.2463,32.7182,,,,,
Kerala,age_26_29,32,78.918,63.9829,,,,,
Kerala,age_30_33,32,85.8421,83.1098,,,,,
Kerala,age_34_plus,32,65.6661,78.4132,,,,,
Kerala,age_below10,32,0.0,0.0,79.6484,20.2316,20.2316,0.0,79.7684
Tamil Nadu,age_10_13,33,1.5764,1.0802,86.5623,10.9291,10.9291,0.0,89.0709
Tamil Nadu,age_14_17,33,17.2131,9.4788,56.1167,29.2447,29.2447,0.0,70.7553
Tamil Nadu,age_18_21,33,68.9496,46.8549,19.3541,52.1501,52.1501,0.0,47.8499
Tamil Nadu,age_22_25,33,68.9496,46.8549,,,,,
Tamil Nadu,age_26_29,33,89.3998,78.8807,,,,,
Tamil Nadu,age_30_33,33,91.2,90.4352,,,,,
Tamil Nadu,age_34_plus,33,72.4276,82.4424,,,,,
Tamil Nadu,age_below10,33,0.0,0.0,79.6025,20.0035,20.0035,0.0,79.9965
State - PONDICHERRY  34,age_10_13,34,0.5735,0.4291,93.896,5.4162,5.4162,0.0,94.5838
State - PONDICHERRY  34,age_14_17,34,13.4829,7.1965,66.473,24.4335,24.4335,0.0,75.5665
State - PONDICHERRY  34,age_18_21,34,60.9286,40.3386,24.4041,53.5751,53.5751,0.0,46.4249
State - PONDICHERRY  34,age_22_25,34,60.9286,40.3386,,,,,
State - PONDICHERRY  34,age_26_29,34,86.5084,74.564,,,,,
State - PONDICHERRY  34,age_30_33,34,89.4076,88.0934,,,,,
State - PONDICHERRY  34,age_34_plus,34,64.9286,78.2804,,,,,
State - PONDICHERRY  34,age_below10,34,0.0,0.0,83.6436,16.1584,16.1584,0.0,83.8416
