state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Sikkim,age_10_13,11,61.2644,67.0908,1.4005,0.4442,0.9219,85.2456,85.7485,10.5272,9.8947,10.5272,9.8947,16.615,15.9591,83.385,84.0409,0.0,89.4728,90.1053
Sikkim,age_14_17,11,21.4872,28.1709,12.7043,2.7588,7.7271,71.9567,71.2287,14.1749,11.9849,14.1749,11.9849,16.5735,13.7051,83.4265,86.2949,0.0,85.8251,88.0151
Sikkim,age_18_21,11,15.7365,22.5352,52.3872,25.7662,39.1717,48.258,49.032,26.8718,16.8251,26.8718,16.8251,18.977,15.0299,81.023,84.9701,0.0,73.1282,83.1749
Sikkim,age_22_25,11,14.7965,21.3363,52.3872,25.7662,39.1717,,,,,,,24.3752,15.0586,75.6248,84.9414,,,
Sikkim,age_26_29,11,14.5266,18.803,75.0779,56.2447,65.7194,,,,,,,29.8027,15.6854,70.1973,84.3146,,,
Sikkim,age_30_33,11,16.9182,16.5007,86.6504,76.7221,81.6226,,,,,,,40.7799,20.5067,59.2201,79.4933,,,
Sikkim,age_34_plus,11,25.4753,28.9401,76.7462,81.4405,79.2645,,,,,,,73.5412,41.5337,26.4588,58.4663,,,
Sikkim,age_below10,11,97.2665,96.3943,0.0,0.0,0.0,66.7157,66.0488,32.0641,32.5978,32.0641,32.5978,77.9194,78.5078,22.0806,21.4922,0.0,67.9359,67.4022
Arunachal Pradesh,age_10_13,12,61.7185,62.1469,1.5028,0.4417,0.9707,65.214,73.8835,30.1302,23.7231,30.1302,23.7231,37.3591,28.5303,62.6409,71.4697,0.0,69.8698,76.2769
Arunachal Pradesh,age_14_17,12,21.0274,21.1241,15.5904,3.8766,9.6957,64.8058,74.2415,20.65,15.8676,20.65,15.8676,29.1231,18.5627,70.8769,81.4373,0.0,79.35,84.1324
Arunachal Pradesh,age_18_21,12,14.0502,13.3731,64.3611,31.3175,48.8552,41.5536,57.6448,26.7289,17.2662,26.7289,17.2662,35.2491,20.2975,64.7509,79.7025,0.0,73.2711,82.7338
Arunachal Pradesh,age_22_25,12,13.9211,11.6269,64.3611,31.3175,48.8552,,,,,,,42.4401,22.4148,57.5599,77.5852,,,
Arunachal Pradesh,age_26_29,12,15.0018,12.3192,86.6507,69.845,78.9273,,,,,,,53.6873,27.5534,46.3127,72.4466,,,
Arunachal Pradesh,age_30_33,12,18.7062,13.5907,90.728,86.0387,88.4505,,,,,,,67.3395,33.7989,32.6605,66.2011,,,
Arunachal Pradesh,age_34_plus,12,26.9111,22.6515,74.7375,88.0595,81.5438,,,,,,,89.9259,64.411,10.0741,35.589,,,
Arunachal Pradesh,age_below10,12,96.8705,96.7166,0.0,0.0,0.0,41.6589,46.4972,57.5423,52.9902,57.5423,52.9902,86.2023,84.346,13.7977,15.654,0.0,42.4577,47.0098
Nagaland,age_10_13,13,36.7616,37.9375,1.3152,0.4843,0.8833,76.2686,78.2285,19.167,17.5422,19.167,17.5422,25.4283,22.9821,74.5717,77.0179,0.0,80.833,82.4578
Nagaland,age_14_17,13,8.6988,8.4414,7.4317,1.6925,4.4442,70.8266,73.4461,17.4912,15.4735,17.4912,15.4735,23.0596,19.8889,76.9404,80.1111,0.0,82.5088,84.5265
Nagaland,age_18_21,13,6.7138,6.4204,29.027,11.6892,20.1415,56.8624,61.7684,21.4712,17.5884,21.4712,17.5884,26.0557,22.2295,73.9443,77.7705,0.0,78.5288,82.4116
Nagaland,age_22_25,13,6.4994,5.5669,29.027,11.6892,20.1415,,,,,,,29.5953,24.6665,70.4047,75.3335,,,
Nagaland,age_26_29,13,8.2555,5.9442,59.4837,39.6481,49.7984,,,,,,,34.0534,26.2145,65.9466,73.7855,,,
Nagaland,age_30_33,13,10.284,6.962,77.6921,67.8911,72.8935,,,,,,,39.0515,26.8376,60.9485,73.1624,,,
Nagaland,age_34_plus,13,16.2572,10.8583,83.3099,90.4636,87.0733,,,,,,,60.0147,40.1328,39.9853,59.8672,,,
Nagaland,age_below10,13,93.1458,92.8814,0.0,0.0,0.0,57.761,59.0421,40.6835,39.4896,40.6835,39.4896,79.213,77.7168,20.787,22.2832,0.0,59.3165,60.5104
Manipur,age_10_13,14,46.8507,47.2894,1.1584,0.4868,0.8126,77.3386,80.6549,19.878,16.6136,19.878,16.6136,30.091,25.9374,69.909,74.0626,0.0,80.122,83.3864
Manipur,age_14_17,14,12.652,11.609,7.7919,1.7045,4.7289,72.3715,78.2309,18.3131,13.3818,18.3131,13.3818,21.8284,17.1101,78.1716,82.8899,0.0,81.6869,86.6182
Manipur,age_18_21,14,8.819,6.6721,30.9581,13.4022,22.3219,59.8463,68.0947,23.1793,15.4446,23.1793,15.4446,23.7931,17.0315,76.2069,82.9685,0.0,76.8207,84.5554
Manipur,age_22_25,14,7.2615,4.9795,30.9581,13.4022,22.3219,,,,,,,27.2096,17.4972,72.7904,82.5028,,,
Manipur,age_26_29,14,8.4164,4.6355,58.8506,40.8751,50.2374,,,,,,,34.6642,19.9714,65.3358,80.0286,,,
Manipur,age_30_33,14,10.2672,4.9924,75.8044,66.762,71.3627,,,,,,,40.97,22.4432,59.03,77.5568,,,
Manipur,age_34_plus,14,16.4405,8.2332,79.8899,90.3441,85.2473,,,,,,,61.3928,33.1559,38.6072,66.8441,,,
Manipur,age_below10,14,92.7198,92.3263,0.0,0.0,0.0,57.0807,59.3972,41.6754,39.3651,41.6754,39.3651,84.2182,82.8071,15.7818,17.1929,0.0,58.3246,60.6349
Mizoram,age_10_13,15,58.3795,63.7164,0.5734,0.2491,0.4088,88.0375,89.8227,10.1029,8.2049,10.1029,8.2049,9.0574,8.0844,90.9426,91.9156,0.0,89.8971,91.7951
Mizoram,age_14_17,15,15.1257,17.6463,9.7694,2.1249,5.9396,66.9761,69.0386,16.0659,10.7304,16.0659,10.7304,6.8159,4.9888,93.1841,95.0112,0.0,83.9341,89.2696
Mizoram,age_18_21,15,14.4596,14.6896,45.1772,24.1695,34.9185,39.539,42.5143,28.2533,15.1604,28.2533,15.1604,7.2324,4.9099,92.7676,95.0901,0.0,71.7467,84.8396
Mizoram,age_22_25,15,14.7108,14.5564,45.1772,24.1695,34.9185,,,,,,,7.4563,4.614,92.5437,95.386,,,
Mizoram,age_26_29,15,17.4205,15.3002,69.2995,56.8431,63.1769,,,,,,,8.6102,5.4017,91.3898,94.5983,,,
Mizoram,age_30_33,15,23.4594,17.5738,79.7125,75.8489,77.7831,,,,,,,10.7556,5.9713,89.2444,94.0287,,,
Mizoram,age_34_plus,15,52.761,37.6551,72.3962,84.8495,78.7565,,,,,,,19.4689,9.2005,80.5311,90.7995,,,
Mizoram,age_below10,15,98.3503,98.3294,0.0,0.0,0.0,65.1341,65.3081,34.5656,34.4416,34.5656,34.4416,76.6264,76.6878,23.3736,23.3122,0.0,65.4344,65.5584
Tripura,age_10_13,16,54.0761,53.1992,0.9623,0.4716,0.7087,70.7849,78.8762,27.7002,19.7616,27.7002,19.7616,27.5244,18.9162,72.4756,81.0838,0.0,72.2998,80.2384
Tripura,age_14_17,16,18.0149,16.4181,18.4488,3.2442,10.7306,56.3595,69.5391,36.5279,21.489,36.5279,21.489,30.9168,16.2447,69.0832,83.7553,0.0,63.4721,78.511
Tripura,age_18_21,16,18.5394,15.1063,67.525,36.5737,53.1233,27.7262,46.6085,55.1348,29.1513,55.1348,29.1513,40.9391,19.6288,59.0609,80.3712,0.0,44.8652,70.8487
Tripura,age_22_25,16,19.2238,15.875,67.525,36.5737,53.1233,,,,,,,47.2635,21.9069,52.7365,78.0931,,,
Tripura,age_26_29,16,22.4127,19.1987,87.754,75.1421,81.7026,,,,,,,57.0027,26.8068,42.9973,73.1932,,,
Tripura,age_30_33,16,26.9655,21.9696,92.6423,90.5893,91.6415,,,,,,,66.2167,31.6044,33.7833,68.3956,,,
Tripura,age_34_plus,16,37.37,35.2819,79.8593,92.6647,86.6223,,,,,,,82.2835,47.5332,17.7165,52.4668,,,
Tripura,age_below10,16,97.6658,97.4375,0.0,0.0,0.0,48.4683,52.8517,51.172,46.7532,51.172,46.7532,79.7737,77.2978,20.2263,22.7022,0.0,48.828,53.2468
Meghalaya,age_10_13,17,66.1313,69.57,1.4259,0.4278,0.9225,69.2557,65.8111,27.1571,29.3785,27.1571,29.3785,30.5346,34.03,69.4654,65.97,0.0,72.8429,70.6215
Meghalaya,age_14_17,17,31.7624,36.8874,13.9872,2.4248,8.2115,63.0404,58.061,23.0214,21.2383,23.0214,21.2383,22.108,26.6245,77.892,73.3755,0.0,76.9786,78.7617
Meghalaya,age_18_21,17,25.8207,27.4025,54.4981,25.8388,40.9893,45.484,47.0062,29.6615,19.222,29.6615,19.222,25.3751,26.4396,74.6249,73.5604,0.0,70.3385,80.778
Meghalaya,age_22_25,17,27.207,26.855,54.4981,25.8388,40.9893,,,,,,,28.9091,28.3289,71.0909,71.6711,,,
Meghalaya,age_26_29,17,30.9667,29.1763,78.1354,63.6119,71.424,,,,,,,37.0057,31.6327,62.9943,68.3673,,,
Meghalaya,age_30_33,17,33.8439,31.0926,84.2185,81.7814,83.0222,,,,,,,41.1651,33.1834,58.8349,66.8166,,,
Meghalaya,age_34_plus,17,42.9607,36.582,71.4796,88.3329,80.1625,,,,,,,57.2184,41.016,42.7816,58.984,,,
Meghalaya,age_below10,17,95.2937,94.7141,0.0,0.0,0.0,44.268,42.2903,54.6586,56.4881,54.6586,56.4881,86.6032,87.3337,13.3968,12.6663,0.0,45.3414,43.5119
Assam,age_10_13,18,40.1259,40.8579,1.3103,0.4058,0.8485,73.5382,78.298,24.5722,19.311,24.5722,19.311,23.369,18.0607,76.631,81.9393,0.0,75.4278,80.689
Assam,age_14_17,18,11.2471,10.4861,14.1309,2.5051,8.3047,60.9962,67.746,33.3141,22.7003,33.3141,22.7003,23.7435,16.1815,76.2565,83.8185,0.0,66.6859,77.2997
Assam,age_18_21,18,10.0959,8.9275,54.5551,21.6429,38.903,38.4573,49.6806,49.6099,29.1028,49.6099,29.1028,29.5881,18.1709,70.4119,81.8291,0.0,50.3901,70.8972
Assam,age_22_25,18,10.5442,9.0946,54.5551,21.6429,38.903,,,,,,,36.5267,19.8948,63.4733,80.1052,,,
Assam,age_26_29,18,14.8375,12.1762,80.3513,57.57,69.6511,,,,,,,48.2944,25.3294,51.7056,74.6706,,,
Assam,age_30_33,18,20.6317,16.2766,88.2349,80.9761,84.6576,,,,,,,57.6704,30.4403,42.3296,69.5597,,,
Assam,age_34_plus,18,33.447,28.6336,77.1935,91.4478,84.7899,,,,,,,74.366,37.7278,25.634,62.2722,,,
Assam,age_below10,18,95.6156,95.654,0.0,0.0,0.0,54.9652,57.2581,44.4412,42.0616,44.4412,42.0616,79.1493,77.9017,20.8507,22.0983,0.0,55.5588,57.9384
West Bengal,age_10_13,19,67.8735,62.2514,1.6256,0.4883,1.0295,53.3904,68.0295,43.3618,28.457,43.3618,28.457,41.3805,25.3889,58.6195,74.6111,0.0,56.6382,71.543
West Bengal,age_14_17,19,34.2312,27.9308,31.8205,4.0534,17.2114,30.7096,46.1741,54.0229,34.6469,54.0229,34.6469,50.29,26.9548,49.71,73.0452,0.0,45.9771,65.3531
West Bengal,age_18_21,19,34.4056,27.712,79.3152,39.5964,60.7907,11.6137,25.263,62.9575,36.2738,62.9575,36.2738,60.5718,30.7921,39.4282,69.2079,0.0,37.0425,63.7262
West Bengal,age_22_25,19,35.7782,30.0785,79.3152,39.5964,60.7907,,,,,,,68.9299,35.3351,31.0701,64.6649,,,
West Bengal,age_26_29,19,37.9625,32.3287,88.7676,75.1578,82.1997,,,,,,,76.0551,40.8101,23.9449,59.1899,,,
West Bengal,age_30_33,19,39.979,36.1373,89.046,89.2985,89.1712,,,,,,,82.2086,47.8543,17.7914,52.1457,,,
West Bengal,age_34_plus,19,43.5562,45.7094,66.969,90.0646,78.6924,,,,,,,90.2859,57.5975,9.7141,42.4025,,,
West Bengal,age_below10,19,97.6961,97.4112,0.0,0.0,0.0,42.1479,48.3351,57.49,51.2245,57.49,51.2245,82.9939,79.5868,17.0061,20.4132,0.0,42.51,48.7755
Jharkhand,age_10_13,20,50.2374,50.3615,1.5143,0.4294,0.9517,45.1379,61.2047,51.4799,34.5548,51.4799,34.5548,51.3126,33.9941,48.6874,66.0059,0.0,48.5201,65.4452
