state_name,age_bracket,state_code,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,School_attendance_rate_SC_male
Kerala,age_34_plus,32,92.3168,78.4132,,,,
Kerala,age_below10,32,0.0,0.0,78.5759,21.2149,21.2149,78.7851
Tamil Nadu,age_10_13,33,0.6034,1.0802,88.8485,8.5639,8.5639,91.4361
Tamil Nadu,age_14_17,33,1.9855,9.4788,61.1171,21.3034,21.3034,78.6966
Tamil Nadu,age_18_21,33,23.5802,46.8549,27.1108,33.0174,33.0174,66.9826
Tamil Nadu,age_22_25,33,23.5802,46.8549,,,,
Tamil Nadu,age_26_29,33,67.1611,78.8807,,,,
Tamil Nadu,age_30_33,33,89.6388,90.4352,,,,
Tamil Nadu,age_34_plus,33,92.3498,82.4424,,,,
Tamil Nadu,age_below10,33,0.0,0.0,80.2218,19.3093,19.3093,80.6907
State - PONDICHERRY  34,age_10_13,34,0.2891,0.4291,94.3225,4.7586,4.7586,95.2414
State - PONDICHERRY  34,age_14_17,34,0.9778,7.1965,71.6648,17.5741,17.5741,82.4259
State - PONDICHERRY  34,age_18_21,34,18.9567,40.3386,35.9218,29.8468,29.8468,70.1532
State - PONDICHERRY  34,age_22_25,34,18.9567,40.3386,,,,
State - PONDICHERRY  34,age_26_29,34,60.7319,74.564,,,,
State - PONDICHERRY  34,age_30_33,34,86.7679,88.0934,,,,
State - PONDICHERRY  34,age_34_plus,34,92.007,78.2804,,,,
State - PONDICHERRY  34,age_below10,34,0.0,0.0,84.3362,15.5582,15.5582,84.4418
