state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_34_plus,30,25.5914,0.6841,1.1061,0.3952,,0.8778,1.4225,1.3421,0.9119,,,0.9446,1.1069,,,,11.7978,42.9931,57.0069,,
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,0.0,72.2184,27.7816,0.0,76.8943
Lakshadweep,age_10_13,31,39.1598,,2.1933,,,3.9952,1.3107,0.5175,0.352,,,1.931,,96.2323,3.7677,3.7677,0.0,2.9036,97.0964,0.0,96.2323
Lakshadweep,age_14_17,31,6.245,,34.3043,,,36.799,17.579,10.1552,21.5574,,,33.9981,,71.5227,28.4386,28.4386,0.0,3.2158,96.7842,0.0,71.5614
Lakshadweep,age_18_21,31,8.0068,,53.4613,,,47.6534,46.8003,53.6223,58.9969,,,51.7569,,21.4699,77.9521,77.9521,0.0,3.0553,96.9447,0.0,22.0479
Lakshadweep,age_22_25,31,13.6564,,6.1343,,,7.2443,22.6677,25.097,11.7466,,,7.0275,,,,,1.8355,4.9215,95.0785,,
Lakshadweep,age_26_29,31,20.1098,,1.3365,,,1.059,7.4017,5.3687,1.8918,,,1.2029,,,,,2.7461,7.6473,92.3527,,
Lakshadweep,age_30_33,31,23.0649,,0.2399,,,0.4813,1.542,0.9056,0.396,,,0.095,,,,,1.7662,8.8973,91.1027,,
Lakshadweep,age_34_plus,31,34.1659,,0.1714,,,0.2647,0.8481,0.3881,0.176,,,0.1266,,,,,0.9951,42.299,57.701,,
Lakshadweep,age_below10,31,98.4997,,0.891,,,1.2515,1.0794,0.9702,1.4518,,,1.2029,,81.7134,18.2555,18.2555,0.0,76.0056,23.9944,0.0,81.7445
Kerala,age_10_13,32,23.383,1.6975,2.9102,1.9106,,3.805,0.958,0.1679,0.5593,,,2.0156,,97.8866,1.9676,1.9676,0.0,1.2983,98.7017,0.0,98.0324
Kerala,age_14_17,32,1.3534,23.1834,28.6483,19.7831,,30.1175,14.2173,7.6295,19.6779,,,26.6685,,80.6261,17.6686,17.6686,0.0,1.2785,98.7215,0.0,82.3314
Kerala,age_18_21,32,1.7259,47.2733,43.7608,44.6237,,42.6761,39.5294,43.6215,47.6544,,,44.9692,,40.2161,54.1928,54.1928,0.0,1.7468,98.2532,0.0,45.8072
Kerala,age_22_25,32,2.3476,17.4528,14.6286,21.6481,,12.69,26.9786,31.7336,21.1384,,,16.3343,,,,,11.7228,2.352,97.648,,
Kerala,age_26_29,32,4.626,4.3489,3.7158,5.712,,3.0529,10.7206,9.5773,5.0793,,,4.0873,,,,,13.5175,3.6995,96.3005,,
Kerala,age_30_33,32,8.751,1.638,1.5009,1.7207,,1.6393,2.9015,2.0259,1.1782,,,1.3179,,,,,9.8047,5.4539,94.5461,,
Kerala,age_34_plus,32,27.4244,0.7705,0.8915,0.8626,,1.004,1.0803,0.6601,0.4511,,,0.6651,,,,,5.0564,23.398,76.602,,
