state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Gujarat,age_below10,24,98.1819,0.0,0.0,67.2868,32.5099,32.5099,73.2822,26.7178,67.4901
Daman & Diu,age_10_13,25,30.3279,0.0,0.6969,95.1807,3.6145,3.6145,2.008,97.992,96.3855
Daman & Diu,age_14_17,25,4.6154,1.7422,4.4964,80.5,9.5,9.5,2.5,97.5,90.5
Daman & Diu,age_18_21,25,5.6,18.5965,41.1765,39.7059,15.4412,15.4412,8.0882,91.9118,84.5588
Daman & Diu,age_below10,25,100.0,0.0,0.0,78.8104,20.0743,20.0743,73.855,26.145,79.9257
Dadra & Nagar Haveli,age_10_13,26,24.026,0.5,0.8197,96.1538,3.2051,3.2051,1.2821,98.7179,96.7949
Dadra & Nagar Haveli,age_14_17,26,1.2048,3.4934,12.1065,78.8571,10.2857,10.2857,5.1429,94.8571,89.7143
Dadra & Nagar Haveli,age_18_21,26,6.4516,28.5714,53.1746,36.7347,17.3469,17.3469,5.102,94.898,82.6531
Dadra & Nagar Haveli,age_below10,26,97.0588,0.0,0.0,60.7306,39.2694,39.2694,78.2979,21.7021,60.7306
Maharashtra,age_10_13,27,34.8977,0.3275,0.6685,91.9802,6.0934,6.0934,3.7451,96.2549,93.9066
Maharashtra,age_14_17,27,7.1351,1.7219,10.1307,72.6211,14.0062,14.0062,4.5186,95.4814,85.9938
Maharashtra,age_18_21,27,7.7938,26.8664,50.9769,45.49,22.6225,22.6225,5.6405,94.3595,77.3775
Maharashtra,age_below10,27,97.6272,0.0,0.0,68.7583,30.9492,30.9492,72.9858,27.0142,69.0508
Andhra Pradesh,age_10_13,28,28.6241,0.3978,1.0076,81.7099,10.4056,10.4056,10.7177,89.2823,89.5944
Andhra Pradesh,age_14_17,28,9.3021,3.424,19.0717,52.622,17.6489,17.6489,16.8571,83.1429,82.3511
Andhra Pradesh,age_18_21,28,9.8092,43.6427,64.317,29.0618,22.5235,22.5235,20.9793,79.0207,77.4765
Andhra Pradesh,age_below10,28,96.0025,0.0,0.0,73.8267,25.2798,25.2798,69.8021,30.1979,74.7202
Karnataka,age_10_13,29,39.1512,0.6251,1.3025,78.0872,14.2986,14.2986,13.0484,86.9516,85.7014
Karnataka,age_14_17,29,9.9783,2.514,12.5705,54.0829,19.1503,19.1503,16.5751,83.4249,80.8497
Karnataka,age_18_21,29,11.259,25.4576,50.4939,27.2376,23.1865,23.1865,21.5603,78.4397,76.8135
Karnataka,age_below10,29,97.7121,0.0,0.0,59.9449,39.0923,39.0923,74.2423,25.7577,60.9077
Goa,age_10_13,30,39.0221,0.5255,0.7235,92.1533,6.9343,6.9343,4.8358,95.1642,93.0657
Goa,age_14_17,30,6.028,1.5861,7.486,74.0513,16.7179,16.7179,4.7179,95.2821,83.2821
Goa,age_18_21,30,5.1948,17.3477,32.3095,37.265,35.2137,35.2137,7.8632,92.1368,64.7863
Goa,age_below10,30,96.8067,0.0,0.0,72.5792,27.1493,27.1493,72.1703,27.8297,72.8507
Kerala,age_10_13,32,28.9456,0.2128,0.5172,96.9169,2.8248,2.8248,1.6623,98.3377,97.1752
Kerala,age_14_17,32,2.6821,0.8479,5.873,73.8448,20.3761,20.3761,1.479,98.521,79.6239
Kerala,age_18_21,32,3.2475,11.2126,32.7182,29.2647,45.7864,45.7864,1.8768,98.1232,54.2136
Kerala,age_below10,32,97.867,0.0,0.0,78.5759,21.2149,21.2149,76.0615,23.9385,78.7851
Tamil Nadu,age_10_13,33,21.8284,0.6034,1.0802,88.8485,8.5639,8.5639,5.188,94.812,91.4361
Tamil Nadu,age_14_17,33,5.9803,1.9855,9.4788,61.1171,21.3034,21.3034,7.0182,92.9818,78.6966
Tamil Nadu,age_18_21,33,6.2755,23.5802,46.8549,27.1108,33.0174,33.0174,9.6379,90.3621,66.9826
Tamil Nadu,age_below10,33,93.9674,0.0,0.0,80.2218,19.3093,19.3093,72.6844,27.3156,80.6907
State - PONDICHERRY  34,age_10_13,34,26.4014,0.2891,0.4291,94.3225,4.7586,4.7586,3.8535,96.1465,95.2414
State - PONDICHERRY  34,age_14_17,34,3.3161,0.9778,7.1965,71.6648,17.5741,17.5741,3.2925,96.7075,82.4259
State - PONDICHERRY  34,age_18_21,34,3.5488,18.9567,40.3386,35.9218,29.8468,29.8468,3.9884,96.0116,70.1532
State - PONDICHERRY  34,age_below10,34,97.9108,0.0,0.0,84.3362,15.5582,15.5582,74.9137,25.0863,84.4418
