state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male
Tripura,age_10_13,16,2.2092,0.1372,5.8009,0.1667,1.8846,0.1201,,,5.1956,0.1962,2.8655,0.1361,0.782,0.1463,2.0523,0.1533,,,,,3.458,0.1332,4.2355,0.1642
Tripura,age_14_17,16,24.6881,2.0263,38.3848,2.0766,23.0644,1.8174,,,30.8077,2.3157,24.5679,1.6293,12.4342,0.996,28.6305,1.4195,,,,,34.2372,1.6582,30.6534,1.7488
Tripura,age_18_21,16,50.7894,26.5089,38.4985,24.0943,52.4422,24.9411,,,42.4742,25.9281,44.2922,20.6908,41.0057,13.5768,43.9902,18.0995,,,,,40.5046,20.3452,40.9428,20.4574
Tripura,age_below10,16,1.6509,0.8032,2.0932,0.914,1.7541,0.8072,,,2.2114,0.7919,1.6979,0.8253,1.5689,0.871,1.8758,0.97,,,,,1.9404,0.9755,2.0353,0.9035
Meghalaya,age_10_13,17,1.052,0.4549,1.0602,0.4183,1.301,0.6121,,,1.6238,0.5238,1.1604,0.4741,0.5468,0.438,0.8792,0.4728,,,,,1.2145,0.5394,1.2767,0.483
Meghalaya,age_14_17,17,17.0238,2.4758,17.4545,2.1968,15.2058,2.3929,,,17.5972,2.6177,14.5862,2.1431,8.0484,1.7017,14.5726,2.0505,,,,,17.9222,2.2631,16.0811,2.2217
Meghalaya,age_18_21,17,50.3003,26.8189,50.2463,25.6155,49.5642,25.9312,,,46.4732,26.1819,47.5047,23.9808,41.1582,19.6738,47.8425,22.9789,,,,,49.5368,24.0622,46.5242,23.7864
Meghalaya,age_below10,17,1.4145,0.9642,1.3456,1.1151,1.7963,1.6176,,,1.5746,1.3111,1.5316,1.208,1.3671,1.45,1.481,1.4132,,,,,1.6187,1.4504,1.5175,1.3288
Assam,age_10_13,18,2.2993,0.1357,3.1337,0.1747,1.7731,0.1595,,,3.059,0.1987,1.9119,0.1737,0.7093,0.1666,1.3851,0.1747,,,,,2.5724,0.1921,2.547,0.1863
Assam,age_14_17,18,25.5016,2.0635,29.3719,1.9366,21.9841,1.8629,,,28.7518,2.4682,21.624,1.8421,13.7635,1.1242,24.2621,1.7626,,,,,29.2564,2.0702,26.2085,1.9233
Assam,age_18_21,18,46.9185,26.1691,44.339,21.3513,46.197,22.6871,,,44.8828,25.8224,44.4449,20.5586,42.9807,13.5136,46.5291,18.7438,,,,,44.5317,20.9119,44.2082,20.3726
Assam,age_below10,18,1.0242,0.5612,1.1517,0.569,0.9728,0.5673,,,1.1429,0.6044,0.9815,0.6166,1.0549,0.8901,1.1592,0.7601,,,,,1.1638,0.6824,1.1352,0.6957
West Bengal,age_10_13,19,6.1819,0.2442,7.4633,0.3173,6.4962,0.244,,,9.7035,0.39,6.3569,0.2583,1.0498,0.1885,2.5339,0.2296,,,,,4.8172,0.305,6.986,0.3058
West Bengal,age_14_17,19,46.1876,4.2143,47.3002,3.8702,41.1092,3.2215,,,45.6868,4.9451,39.9696,3.131,17.0563,1.3786,34.9214,2.3963,,,,,44.5361,3.4805,40.9367,3.3492
West Bengal,age_18_21,19,36.4886,37.1142,33.6509,32.8652,38.0267,30.8222,,,31.8229,35.9635,34.4537,27.7087,45.8632,14.9264,43.0474,23.9174,,,,,37.0412,30.2475,34.8809,27.4695
West Bengal,age_below10,19,1.2083,0.5979,1.3476,0.6469,1.5471,0.5747,,,1.9861,0.6726,1.3449,0.7028,0.9827,0.9645,1.0138,0.819,,,,,1.1405,0.8031,1.565,0.7832
Jharkhand,age_10_13,20,8.0406,1.1508,7.9644,1.3674,6.559,1.0838,,,9.0811,1.3472,6.9467,0.9662,2.4316,0.6704,4.1459,0.937,,,,,6.1905,1.1325,7.9272,1.0905
Jharkhand,age_14_17,20,42.2928,12.7018,44.2094,11.9173,36.1243,10.2732,,,43.2912,12.0546,37.7115,9.288,27.4001,6.7309,38.1903,9.4563,,,,,42.2651,10.5714,41.1737,9.9732
Jharkhand,age_18_21,20,37.3136,51.6968,34.5424,48.7611,41.5984,48.3486,,,34.9377,49.0405,39.117,45.1248,47.3053,40.2312,41.8799,46.126,,,,,38.1394,48.0367,36.4213,45.1882
Jharkhand,age_below10,20,3.4714,1.139,3.5579,1.2261,3.4945,1.1288,,,3.6928,1.1786,3.4452,1.0615,2.1619,1.1567,2.6278,1.2258,,,,,2.9862,1.1701,3.4235,1.1748
State - ORISSA  21,age_10_13,21,2.2478,0.1499,3.3946,0.2786,2.2997,0.2102,,,3.2874,0.2595,2.3218,0.1708,0.6174,0.1176,1.1724,0.1365,,,,,2.382,0.209,2.8345,0.2208
State - ORISSA  21,age_14_17,21,35.3838,2.5903,37.206,2.7863,33.6779,2.7625,,,36.9719,3.7301,32.9555,2.2618,15.6565,0.9216,25.6614,1.6092,,,,,33.9467,2.3328,33.8944,2.5403
State - ORISSA  21,age_18_21,21,48.502,35.7106,45.5651,34.5437,49.398,34.8575,,,45.6037,38.9395,46.2785,30.0876,50.4974,17.6815,50.8766,25.5918,,,,,48.0002,31.0893,46.1939,30.6626
State - ORISSA  21,age_below10,21,1.4882,0.8113,1.7213,0.808,1.7338,0.8084,,,1.7768,0.888,1.5821,0.8081,1.2767,0.9424,1.4464,0.9292,,,,,1.5196,0.8279,1.6726,0.8852
Chhattisgarh,age_10_13,22,9.2122,2.983,7.7147,3.9397,8.7648,3.1715,,,9.7594,3.5985,8.7127,2.6359,1.4927,1.1235,2.6971,1.8264,,,,,5.5066,2.839,8.0348,2.8323
Chhattisgarh,age_14_17,22,42.3347,13.9437,41.0781,15.1759,37.8271,12.8983,,,40.2614,14.882,38.9502,11.4604,18.1077,5.3845,33.0449,9.6856,,,,,40.018,12.8875,37.8714,11.9765
Chhattisgarh,age_18_21,22,38.4036,58.9423,39.9821,55.0395,41.5077,56.1299,,,38.0156,54.2325,39.8284,51.2899,54.0664,40.006,50.6626,54.0629,,,,,43.1977,55.9994,40.4529,50.7686
Chhattisgarh,age_below10,22,5.7804,2.0741,5.0943,2.5806,6.333,2.2125,,,5.9328,2.2455,5.8768,1.9037,2.1167,1.3177,2.7594,1.7138,,,,,3.778,2.0963,5.1535,2.0278
Madhya Pradesh,age_10_13,23,12.7465,3.9713,11.4485,4.041,13.5612,4.0433,,,14.3882,4.4782,12.7357,3.2663,2.7479,1.946,5.2726,3.0182,,,,,8.7413,3.9186,11.8941,3.5076
Madhya Pradesh,age_14_17,23,44.2294,19.0403,44.3033,18.643,43.0004,20.3333,,,44.5597,20.5667,42.4104,16.4977,24.9479,11.2274,39.1995,16.6008,,,,,44.3979,18.227,41.9276,16.8825
Madhya Pradesh,age_18_21,23,33.9162,55.4814,33.8928,53.1051,34.1846,56.1664,,,31.1744,53.3467,33.8697,50.4201,50.4201,44.7163,43.3725,51.7682,,,,,36.6324,52.4813,34.114,49.8588
Madhya Pradesh,age_below10,23,5.0882,1.6259,4.5942,1.7293,5.499,1.6197,,,5.1124,1.7418,5.0393,1.442,1.9681,1.2477,2.5324,1.5332,,,,,3.3304,1.7182,4.4404,1.5715
Gujarat,age_10_13,24,2.8282,0.8697,3.8479,1.0621,2.0932,0.9237,,,3.6704,0.9925,3.2699,0.7413,0.8382,0.595,1.7368,0.9778,,,,,2.6947,1.0453,2.9511,0.8694
Gujarat,age_14_17,24,23.5741,7.2338,24.9999,7.0448,21.886,7.3739,,,25.8234,7.3991,23.1892,5.3898,11.2064,3.9959,18.3959,5.9919,,,,,22.421,6.3101,22.0732,5.7866
Gujarat,age_18_21,24,62.9938,57.6952,57.7082,53.2174,65.0785,58.5517,,,58.3393,55.3895,59.4912,47.7103,63.2676,40.1709,62.5778,47.9179,,,,,60.3585,50.7873,58.7346,47.41
Gujarat,age_below10,24,1.5429,0.7159,1.8169,0.8931,1.717,0.7984,,,1.8745,0.8539,1.7954,0.7916,1.062,0.8447,1.3216,0.9745,,,,,1.5257,0.8945,1.6436,0.8701
Daman & Diu,age_10_13,25,2.5478,0.8969,2.8755,0.6617,1.6298,0.2389,,,3.5149,0.8894,2.2891,0.6046,0.5653,0.5056,0.737,0.5223,,,,,1.3786,0.6376,2.2869,0.5891
Daman & Diu,age_14_17,25,27.3885,7.1749,31.2395,6.2035,31.6647,4.9582,,,33.8326,8.2546,30.2128,5.3151,13.6452,3.9687,21.7276,5.9083,,,,,26.9883,5.6864,27.1642,5.387
Daman & Diu,age_18_21,25,57.9618,45.7399,49.9721,44.1067,53.2014,45.46,,,49.1786,48.1656,47.3514,39.5405,58.2456,33.6451,58.0189,43.2022,,,,,55.7971,42.6936,51.955,39.1042
Daman & Diu,age_below10,25,1.9108,0.8969,1.5913,0.7444,2.3283,0.5376,,,1.5944,0.7782,1.482,0.8303,1.2865,1.028,1.2677,0.865,,,,,1.0958,0.7417,1.3889,0.8277
Dadra & Nagar Haveli,age_10_13,26,0.7674,0.242,2.6745,0.7858,1.4322,0.2299,,,2.1267,0.3635,1.5496,0.4848,0.7861,0.4147,1.1874,0.7014,,,,,2.1396,0.7907,1.9041,0.4976
Dadra & Nagar Haveli,age_14_17,26,29.264,6.3278,31.8676,8.2337,35.1808,7.8826,,,34.1987,8.5492,32.203,6.7508,12.9813,4.1077,28.2019,7.2038,,,,,29.7673,8.3624,30.1745,6.9181
Dadra & Nagar Haveli,age_18_21,26,57.2027,66.7012,52.8558,63.1192,53.3978,66.5089,,,51.9383,63.981,52.9654,54.3327,61.8021,41.6478,55.9796,57.3649,,,,,55.0415,58.5098,52.7576,54.4033
Dadra & Nagar Haveli,age_below10,26,2.1277,0.7607,2.1306,0.837,2.3201,0.5611,,,2.0339,0.7546,2.2145,0.945,1.5723,1.111,1.6115,1.346,,,,,2.3001,1.0185,1.9596,0.9572
Maharashtra,age_10_13,27,4.8201,0.4413,4.4085,0.6255,4.5708,0.425,,,7.2936,0.8779,4.5351,0.4517,0.7697,0.3042,1.5668,0.4538,,,,,3.0085,0.5383,4.5735,0.5241
Maharashtra,age_14_17,27,37.717,3.8961,35.5103,4.5245,37.1768,3.6625,,,39.8831,6.3515,34.7395,3.278,15.2154,1.9011,26.1266,3.0764,,,,,32.0825,3.7772,31.8006,3.6047
Maharashtra,age_18_21,27,47.6894,41.932,47.8017,39.367,48.8876,40.2921,,,41.1389,43.6584,46.4891,32.1288,55.494,23.2536,54.7281,31.917,,,,,50.8983,36.3808,46.1171,32.0187
Maharashtra,age_below10,27,2.6335,0.8965,2.424,0.8985,2.6393,0.842,,,2.9721,0.982,2.4894,0.8184,1.6367,0.769,2.0263,0.9352,,,,,2.1006,0.8904,2.4033,0.858
Andhra Pradesh,age_10_13,28,10.9054,0.7118,9.1339,0.9407,11.5057,1.0697,,,12.3259,1.2728,10.7564,0.7344,1.9786,0.3668,4.4567,0.4517,,,,,6.8098,0.5219,9.776,0.8462
Andhra Pradesh,age_14_17,28,45.3224,6.2165,45.5451,6.5201,41.9319,6.3033,,,42.1465,7.6114,42.521,5.1267,27.5562,2.6447,40.993,4.121,,,,,43.6485,4.6118,40.1911,5.4617
Andhra Pradesh,age_18_21,28,34.3412,49.9301,34.9582,47.8116,35.2461,45.041,,,33.0036,47.6319,34.4059,41.6199,49.1283,31.9836,40.2516,40.5927,,,,,38.1009,43.6881,35.7774,41.3558
Andhra Pradesh,age_below10,28,2.7533,1.2404,2.2226,1.4136,4.0534,1.4998,,,3.583,1.4743,3.2811,1.3063,1.5498,1.2622,1.6976,1.3135,,,,,1.841,1.1927,2.9223,1.3583
Karnataka,age_10_13,29,6.788,0.5213,5.0018,0.393,5.7335,0.3771,,,7.2419,0.4947,5.5175,0.3207,1.1214,0.212,2.6258,0.2907,,,,,4.1763,0.3196,5.4009,0.3588
Karnataka,age_14_17,29,33.7212,2.5963,29.8144,1.8966,31.7248,1.8569,,,33.0747,2.5439,29.4712,1.5944,16.5789,0.8833,27.9981,1.305,,,,,29.4837,1.5439,28.8967,1.7164
Karnataka,age_18_21,29,46.3684,31.5335,47.4004,26.3657,48.7453,27.0986,,,45.0177,31.2221,45.7793,23.0591,50.508,15.1146,48.3058,20.7044,,,,,47.419,23.7834,45.8345,23.3265
Karnataka,age_below10,29,2.5139,0.7309,2.1048,0.6272,2.011,0.5887,,,2.2932,0.6338,2.0735,0.6502,1.3146,0.7774,1.574,0.8249,,,,,1.8013,0.6498,2.002,0.6882
Goa,age_10_13,30,1.979,0.0757,1.4514,0.1451,2.1076,0.0666,,,4.4131,0.4387,1.9732,0.2112,0.2063,0.1592,0.3209,0.1789,,,,,0.9446,0.1968,1.9443,0.2105
Goa,age_10_13,30,1.979,0.0757,1.4514,0.1451,2.1076,0.0666,,,4.4131,0.4387,1.9732,0.2112,0.2063,0.1592,0.3209,0.1789,,,,,0.9446,0.1968,1.9443,0.2105
Goa,age_10_13,30,1.979,0.0757,1.4514,0.1451,2.1076,0.0666,,,4.4131,0.4387,1.9732,0.2112,0.2063,0.1592,0.3209,0.1789,,,,,0.9446,0.1968,1.9443,0.2105
Goa,age_10_13,30,1.979,0.0757,1.4514,0.1451,2.1076,0.0666,,,4.4131,0.4387,1.9732,0.2112,0.2063,0.1592,0.3209,0.1789,,,,,0.9446,0.1968,1.9443,0.2105
