state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Manipur,age_18_21,14,20.0,8.8619,3.0552,0.0,6.1723,7.1429,53.4884,22.6415,23.7903,16.9041,13.1395,6.4114,6.8966,7.1429,41.5143,14.522,12.5,8.0,46.5116,77.3585,76.2097,83.0959,86.8605,93.5886,93.1034,92.8571,58.4857,85.478,87.5,92.0,15.0,30.2322,34.5866,0.0,38.6373,21.4286
Mizoram,age_below10,15,91.6745,98.6675,98.0932,85.7143,100.0,100.0,89.1659,86.8198,75.224,75.5189,75.4933,75.2343,69.5652,94.1176,89.2909,88.6486,75.8621,76.4706,10.8341,13.1802,24.776,24.4811,24.5067,24.7657,30.4348,5.8824,10.7091,11.3514,24.1379,23.5294,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,age_10_13,15,81.6154,57.2422,55.54,100.0,61.194,44.4444,54.6473,41.7955,4.6267,4.6103,12.7295,9.8434,60.0,41.6667,44.856,47.1186,0.0,0.0,45.3527,58.2045,95.3733,95.3897,87.2705,90.1566,40.0,58.3333,55.144,52.8814,100.0,100.0,0.2411,1.9344,2.3843,0.0,2.2388,0.0
Mizoram,age_14_17,15,45.0457,13.9568,12.6496,66.6667,33.0189,50.0,53.9811,35.7938,2.9871,2.213,12.5561,10.4497,40.0,25.0,43.617,30.8559,33.3333,0.0,46.0189,64.2062,97.0129,97.787,87.4439,89.5503,60.0,75.0,56.383,69.1441,66.6667,100.0,5.4878,33.7541,37.9487,0.0,19.8113,0.0
Mizoram,age_18_21,15,30.5634,13.7686,9.8485,0.0,41.2698,,54.0453,31.199,3.0959,2.359,17.2414,22.1037,0.0,40.0,25.8824,18.4433,,33.3333,45.9547,68.801,96.9041,97.641,82.7586,77.8963,100.0,60.0,74.1176,81.5567,,66.6667,14.0845,33.9909,31.8182,50.0,19.0476,
Tripura,age_below10,16,98.597,97.3243,98.2815,86.6667,98.443,100.0,83.9394,80.2822,77.0076,74.7815,75.179,73.9589,69.3878,67.4419,78.5173,77.2564,85.7143,80.0,16.0606,19.7178,22.9924,25.2185,24.821,26.0411,30.6122,32.5581,21.4827,22.7436,14.2857,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,age_10_13,16,62.4928,48.17,51.535,21.0526,64.5179,50.0,36.5342,24.9589,23.3624,16.5053,13.9232,9.6976,5.0,7.1429,18.1153,15.0395,0.0,9.0909,63.4658,75.0411,76.6376,83.4947,86.0768,90.3024,95.0,92.8571,81.8847,84.9605,100.0,90.9091,2.2029,4.1146,3.4403,0.0,1.5503,16.6667
Tripura,age_14_17,16,27.1615,15.6786,15.7273,10.5263,26.9032,0.0,39.6617,22.4707,23.417,13.0648,14.3999,8.0431,13.6364,0.0,23.5809,15.7384,16.6667,0.0,60.3383,77.5293,76.583,86.9352,85.6001,91.9569,86.3636,100.0,76.4191,84.2616,83.3333,100.0,26.4114,35.3094,35.6994,36.8421,24.6366,60.0
Tripura,age_18_21,16,24.6407,16.0912,15.7142,0.0,27.0095,0.0,53.7512,29.0909,27.8791,12.8811,18.5843,9.3503,0.0,27.2727,32.2251,17.9141,0.0,0.0,46.2488,70.9091,72.1209,87.1189,81.4157,90.6497,100.0,72.7273,67.7749,82.0859,100.0,100.0,25.9754,30.7028,28.3718,50.0,23.3156,0.0
Meghalaya,age_below10,17,96.875,95.3595,94.9274,88.2353,93.7333,96.5517,85.1163,82.4528,86.0549,86.8793,81.024,79.8886,79.5181,85.0,89.8717,89.7505,77.4319,73.7374,14.8837,17.5472,13.9451,13.1207,18.976,20.1114,20.4819,15.0,10.1283,10.2495,22.5681,26.2626,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,age_10_13,17,47.7419,65.7381,49.3342,31.8182,61.6129,62.2222,31.4159,28.91,27.7613,31.5743,26.0401,21.931,38.8889,48.3871,53.6102,48.7336,16.6667,11.6883,68.5841,71.09,72.2387,68.4257,73.9599,78.069,61.1111,51.6129,46.3898,51.2664,83.3333,88.3117,10.9677,3.105,7.4971,18.1818,4.6774,1.1111
Meghalaya,age_14_17,17,18.6441,31.2688,17.1531,5.5556,22.9693,15.5963,18.4332,17.316,18.9543,23.7576,23.0634,18.2076,25.0,30.303,46.2561,44.1292,14.1732,21.3115,81.5668,82.684,81.0457,76.2424,76.9366,81.7924,75.0,69.697,53.7439,55.8708,85.8268,78.6885,30.5085,22.5529,33.7203,27.7778,30.2313,30.2752
Meghalaya,age_18_21,17,6.1224,25.2087,13.6824,22.2222,16.469,13.2075,16.9492,16.0256,21.7038,22.8876,27.2089,18.0475,35.7143,44.4444,53.0322,40.1322,30.2632,8.2645,83.0508,83.9744,78.2962,77.1124,72.7911,81.9525,64.2857,55.5556,46.9678,59.8678,69.7368,91.7355,27.551,22.4949,24.3967,11.1111,23.3202,30.1887
Assam,age_below10,18,95.1747,95.7667,95.4243,95.3206,96.1416,92.8717,77.4653,75.5306,82.2651,80.6295,77.3927,75.7565,68.3662,70.0367,85.8491,85.0715,68.3226,70.1156,22.5347,24.4694,17.7349,19.3705,22.6073,24.2435,31.6338,29.9633,14.1509,14.9285,31.6774,29.8844,0.0,0.0,0.0,0.0,0.0,0.0
Assam,age_10_13,18,40.6904,53.3875,35.3601,21.2911,49.0675,26.0749,20.532,17.8558,33.8357,27.8925,21.9154,15.9741,3.3917,2.6804,38.8308,36.8212,8.3863,4.0046,79.468,82.1442,66.1643,72.1075,78.0846,84.0259,96.6083,97.3196,61.1692,63.1788,91.6137,95.9954,9.0481,4.8881,10.6674,14.3828,6.0585,12.344
Assam,age_14_17,18,12.0631,20.3875,10.4692,1.0381,17.7652,4.3956,19.0324,14.4535,34.1941,26.2358,21.209,14.3493,2.2548,3.1938,37.1216,35.229,7.278,3.9642,80.9676,85.5465,65.8059,73.7642,78.791,85.6507,97.7452,96.8062,62.8784,64.771,92.722,96.0358,38.726,31.4718,43.6575,45.7901,37.7533,44.427
Assam,age_18_21,18,10.9541,17.5609,9.7272,1.432,18.097,4.1667,23.9928,13.4862,39.4083,27.7073,24.6775,14.9936,4.3379,2.5948,45.6267,35.1846,11.8644,2.7778,76.0072,86.5138,60.5917,72.2927,75.3225,85.0064,95.6621,97.4052,54.3733,64.8154,88.1356,97.2222,26.1484,27.351,27.8111,9.0692,25.7085,20.1923
West Bengal,age_below10,19,94.571,97.3747,97.8324,96.7343,97.5472,96.2138,73.073,71.384,76.425,74.5962,75.1204,73.7021,70.1842,68.6535,79.7435,79.4053,71.0509,69.7321,26.927,28.616,23.575,25.4038,24.8796,26.2979,29.8158,31.3465,20.2565,20.5947,28.9491,30.2679,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,age_10_13,19,49.4106,57.7473,51.6604,35.753,65.1107,39.7248,10.6982,8.6614,18.8865,14.2653,17.0721,10.9206,4.5008,2.6328,24.0757,23.6577,7.2458,5.2371,89.3018,91.3386,81.1135,85.7347,82.9279,89.0794,95.4992,97.3672,75.9243,76.3423,92.7542,94.7629,5.4106,3.305,3.8377,7.9632,2.0212,7.3236
West Bengal,age_14_17,19,15.2183,20.1042,17.625,4.3165,28.1338,6.0947,11.6215,7.9476,20.7339,14.3167,19.5998,11.8276,4.2794,2.741,29.1802,26.2987,7.5423,5.5097,88.3785,92.0524,79.2661,85.6833,80.4002,88.1724,95.7206,97.259,70.8198,73.7013,92.4577,94.4903,34.7609,30.0694,32.3609,46.5057,22.4292,42.6629
West Bengal,age_18_21,19,15.2961,17.4074,17.9601,4.3571,28.4252,4.1978,16.2832,9.9877,28.4894,15.9666,24.5852,13.3627,5.332,2.0739,37.6108,28.6025,8.766,4.6414,83.7168,90.0123,71.5106,84.0334,75.4148,86.6373,94.668,97.9261,62.3892,71.3975,91.234,95.3586,26.4167,26.7531,23.3009,12.1148,19.705,21.0821
Jharkhand,age_below10,20,96.6942,95.8711,95.5033,94.7644,92.1617,95.2505,81.1526,82.0,80.5841,79.668,84.1099,80.3766,70.4334,73.0035,84.4428,81.6347,71.0661,71.1318,18.8474,18.0,19.4159,20.332,15.8901,19.6234,29.5666,26.9965,15.5572,18.3653,28.9339,28.8682,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,age_10_13,20,44.2424,45.3753,45.1373,27.5923,52.5247,32.0972,33.4677,17.5439,21.858,17.7282,38.5367,22.1711,10.1106,4.9062,37.7392,25.6756,8.1568,6.8827,66.5323,82.4561,78.142,82.2718,61.4633,77.8289,89.8894,95.0938,62.2608,74.3244,91.8432,93.1173,7.8788,8.5637,8.7964,13.7083,7.1003,12.7142
