state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
Nagaland,age_below10,13,93.1467,92.9874,0.9882,1.0339,0.9424,0.8408,0.7673,0.6797,,,0.7961,0.7247,0.806,0.769,1.0791,0.9218,1.0842,0.9066,,,,,0.9232,0.8429,0.914,0.8537,57.3384,58.8134,41.1827,39.7642,41.1827,39.7642,79.4679,77.983,20.5321,22.017,0.0,58.8173,60.2358
Manipur,age_10_13,14,39.7669,40.3491,0.994,0.1639,0.8201,0.2142,0.6736,0.2042,,,1.1335,0.2238,0.7258,0.2163,0.4137,0.1928,0.6403,0.1734,,,,,0.7141,0.2055,0.8702,0.195,83.867,86.9548,14.7177,11.4337,14.7177,11.4337,21.8377,17.9041,78.1623,82.0959,0.0,85.2823,88.5663
Manipur,age_14_17,14,7.7103,7.2929,19.9449,2.7863,18.0972,2.7759,14.7536,2.2069,,,20.0476,2.7069,14.9066,2.1539,9.5189,1.5574,16.9343,2.2724,,,,,17.7407,2.5499,16.7835,2.0503,77.8518,83.1947,17.1024,11.1843,17.1024,11.1843,16.5247,11.032,83.4753,88.968,0.0,82.8976,88.8157
Manipur,age_18_21,14,5.467,4.3661,44.2864,28.3753,42.0859,26.2552,42.1069,25.2021,,,41.4681,25.6067,38.7849,22.7586,36.3124,19.7307,41.8549,24.6988,,,,,42.2737,26.2456,39.2025,21.922,63.1237,71.5407,26.2696,15.1144,26.2696,15.1144,19.9031,11.3139,80.0969,88.6861,0.0,73.7304,84.8856
Manipur,age_below10,14,93.8542,93.5387,0.7546,0.5941,0.7195,0.5043,0.7351,0.6619,,,0.7444,0.7437,0.6506,0.5983,0.884,0.7681,0.8394,0.6824,,,,,0.8277,0.6228,0.7776,0.7143,64.4945,66.8323,34.7689,32.375,34.7689,32.375,82.3064,81.1739,17.6936,18.8261,0.0,65.2311,67.625
Mizoram,age_10_13,15,58.3031,63.5224,0.513,0.0911,0.2119,0.1274,0.3391,0.1291,,,0.7427,0.3222,0.2892,0.1515,0.0977,0.1198,0.1951,0.1571,,,,,0.2005,0.1078,0.3022,0.1452,87.7587,89.4578,10.3726,8.4548,10.3726,8.4548,9.2854,8.3496,90.7146,91.6504,0.0,89.6274,91.5452
Mizoram,age_14_17,15,15.1106,17.7083,11.8588,2.0032,9.7822,1.3416,11.65,1.6407,,,16.089,3.0454,9.9543,1.3552,3.47,0.6898,7.8986,1.1947,,,,,11.7647,1.5268,10.2676,1.3541,66.9844,68.591,16.2524,10.7723,16.2524,10.7723,7.0199,5.3177,92.9801,94.6823,0.0,83.7476,89.2277
Mizoram,age_18_21,15,14.4724,15.1073,49.3965,29.1145,49.1117,24.5151,50.751,28.7828,,,50.9045,35.5595,47.2068,24.6176,38.6153,18.7954,50.5488,25.4773,,,,,50.6529,27.3315,48.2389,24.5145,39.5302,41.1472,28.6452,14.8892,28.6452,14.8892,7.4018,5.7459,92.5982,94.2541,0.0,71.3548,85.1108
Mizoram,age_below10,15,98.3437,98.2436,0.3621,0.4097,0.4333,0.3452,0.54,0.3967,,,0.6569,0.6002,0.4881,0.4308,0.4996,0.4211,0.615,0.4773,,,,,0.6191,0.529,0.5576,0.453,64.9488,64.9894,34.7534,34.7343,34.7534,34.7343,76.6879,76.7455,23.3121,23.2545,0.0,65.2466,65.2657
Tripura,age_10_13,16,52.8776,53.3069,2.2092,0.1372,5.8009,0.1667,1.8846,0.1201,,,5.1956,0.1962,2.8655,0.1361,0.782,0.1463,2.0523,0.1533,,,,,3.458,0.1332,4.2355,0.1642,81.2762,85.3139,17.6929,13.5241,17.6929,13.5241,15.4022,10.9922,84.5978,89.0078,0.0,82.3071,86.4759
