state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Karnataka,age_below10,29,97.7927,0.0,0.0,52.4722,46.5953,46.5953,77.0632,22.9368,0.0,53.4047
Goa,age_10_13,30,40.9091,2.5641,1.4085,55.8824,29.4118,29.4118,35.2941,64.7059,0.0,70.5882
Goa,age_14_17,30,25.0,22.2222,12.3077,37.5,41.6667,41.6667,33.3333,66.6667,0.0,58.3333
Goa,age_18_21,30,0.0,75.8621,50.0,12.5,50.0,50.0,62.5,37.5,0.0,50.0
Goa,age_below10,30,92.3077,0.0,0.0,50.0,50.0,50.0,78.6885,21.3115,0.0,50.0
Lakshadweep,age_10_13,31,39.4459,0.5598,0.3224,96.143,3.857,3.857,2.937,97.063,0.0,96.143
Lakshadweep,age_14_17,31,6.2294,12.3176,6.3386,70.978,28.982,28.982,3.2335,96.7665,0.0,71.018
Lakshadweep,age_18_21,31,7.9792,64.5448,40.3765,21.1943,78.217,78.217,3.0278,96.9722,0.0,21.783
Lakshadweep,age_below10,31,98.4615,0.0,0.0,81.5321,18.4361,18.4361,76.0877,23.9123,0.0,81.5639
Kerala,age_10_13,32,38.0684,1.0513,0.6811,83.9953,15.0876,15.0876,10.8646,89.1354,0.0,84.9124
Kerala,age_14_17,32,13.4995,16.7024,9.3329,55.6462,36.2794,36.2794,12.5602,87.4398,0.0,63.7206
Kerala,age_18_21,32,15.85,63.1192,46.4878,17.9653,62.7052,62.7052,18.6012,81.3988,0.0,37.2948
Kerala,age_below10,32,97.1924,0.0,0.0,67.9832,31.817,31.817,79.3223,20.6777,0.0,68.183
Tamil Nadu,age_10_13,33,27.8442,2.0911,1.4028,58.9053,32.39,32.39,33.2175,66.7825,0.0,67.61
Tamil Nadu,age_14_17,33,10.5357,31.6355,17.5708,32.3941,39.0399,39.0399,41.3785,58.6215,0.0,60.9601
Tamil Nadu,age_18_21,33,10.0999,83.4463,65.1573,9.8838,46.3442,46.3442,51.961,48.039,0.0,53.6558
Tamil Nadu,age_below10,33,93.5047,0.0,0.0,59.8214,38.3162,38.3162,79.2155,20.7845,0.0,61.6838
Andaman & Nicobar Islands,age_10_13,35,38.5338,0.327,0.2508,80.7631,18.9189,18.9189,15.4213,84.5787,0.0,81.0811
Andaman & Nicobar Islands,age_14_17,35,7.4672,3.681,2.0033,69.667,29.4329,29.4329,10.8011,89.1989,0.0,70.5671
Andaman & Nicobar Islands,age_18_21,35,6.3098,36.4985,24.2841,38.9155,57.0973,57.0973,16.5869,83.4131,0.0,42.9027
Andaman & Nicobar Islands,age_below10,35,95.1983,0.0,0.0,52.1966,47.58,47.58,81.5698,18.4302,0.0,52.42
