state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Rajasthan,age_10_13,08,57.5,39.1144,55.103,23.25,58.9006,49.705,13.6069,14.9671,28.9656,1.4801,37.5712,16.3573,86.3931,85.0329,71.0344,98.5199,62.4288,83.6427,5.5,7.4908,4.7775,15.6407,3.6983,5.9501
Rajasthan,age_14_17,08,16.0305,7.9612,19.8861,2.1966,24.3643,14.4454,24.058,18.9933,35.6501,1.1567,42.5043,22.0204,75.942,81.0067,64.3499,98.8433,57.4957,77.9796,27.0992,39.4175,25.9725,40.014,20.5357,29.1108
Rajasthan,age_18_21,08,9.7087,7.3099,18.0016,3.1228,21.0877,11.7626,31.7881,20.7722,44.4672,1.6347,48.8876,28.1196,68.2119,79.2278,55.5328,98.3653,51.1124,71.8804,16.5049,10.039,17.9817,11.7338,17.5174,22.6648
Uttar Pradesh,age_below10,09,95.4705,93.1133,95.4049,92.8676,93.0317,94.5544,80.6868,79.2844,81.5308,71.4056,85.2192,75.741,19.3132,20.7156,18.4692,28.5944,14.7808,24.259,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,age_10_13,09,49.3021,39.5892,47.1854,21.2868,54.9015,37.8201,25.243,24.618,29.4601,4.9445,41.7713,16.4071,74.757,75.382,70.5399,95.0555,58.2287,83.5929,6.0685,10.6742,7.2618,19.2243,5.3929,9.9643
Uttar Pradesh,age_14_17,09,10.6724,7.1696,9.033,1.4288,17.9759,6.6538,32.0182,23.5553,33.5953,3.6421,46.3083,18.6405,67.9818,76.4447,66.4047,96.3579,53.6917,81.3595,35.6835,35.6453,37.2405,38.8492,25.1844,37.444
Uttar Pradesh,age_18_21,09,6.5739,4.3887,5.6028,1.0277,12.4213,4.9215,44.2192,23.8482,42.1438,3.2803,51.0798,21.935,55.7808,76.1518,57.8562,96.7197,48.9202,78.065,26.7595,15.0784,24.2486,6.7061,17.5965,20.3761
Bihar,age_below10,10,95.8904,92.8328,94.6024,93.7158,90.4277,91.6859,84.8673,79.1719,88.2013,70.5077,89.4587,78.7014,15.1327,20.8281,11.7987,29.4923,10.5413,21.2986,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,age_10_13,10,42.9084,36.161,46.9408,21.626,54.4579,31.0757,31.3194,26.6161,48.5208,7.0997,53.7054,21.7256,68.6806,73.3839,51.4792,92.9003,46.2946,78.2744,8.6176,12.1805,8.2157,20.9756,5.614,14.741
Bihar,age_14_17,10,8.4615,9.1922,10.5564,1.209,22.8579,3.7821,32.6425,25.9412,46.0646,3.9801,52.2347,12.2178,67.3575,74.0588,53.9354,96.0199,47.7653,87.7822,39.7436,37.0474,33.3431,40.0691,20.6433,37.0651
Bihar,age_18_21,10,4.8485,5.6483,7.7746,0.3401,18.7807,2.5723,46.2541,25.0241,55.0274,5.4662,58.4824,18.799,53.7459,74.9759,44.9726,94.5338,41.5176,81.201,20.6061,13.8639,18.7535,6.8027,13.9478,12.2186
Sikkim,age_below10,11,97.4265,97.2571,97.5037,100.0,100.0,100.0,78.3797,77.5353,78.6148,64.2857,83.2138,76.1905,21.6203,22.4647,21.3852,35.7143,16.7862,23.8095,0.0,0.0,0.0,0.0,0.0,0.0
