source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,40-44,1216726,670319,546407,16087,9242,6845,1136684,653581,483103,57787,5946,51841,6168,1550,4618,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,45-49,1044742,561899,482843,10371,5545,4826,957420,547953,409467,72718,7328,65390,4233,1073,3160,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,50-54,792571,430945,361626,7874,3825,4049,674794,415151,259643,106401,10997,95404,3502,972,2530,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,55-59,513188,253762,259426,4526,2065,2461,423003,241901,181102,83953,9304,74649,1706,492,1214,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,60-64,524038,253742,270296,6572,2703,3869,366002,233362,132640,149495,17016,132479,1969,661,1308,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,65-69,301425,139646,161779,4295,1773,2522,202198,125561,76637,94002,11974,82028,930,338,592,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,70-74,241900,115080,126820,4899,2268,2631,137089,97908,39181,99098,14583,84515,814,321,493,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,75-79,96703,46741,49962,2743,1449,1294,53746,37920,15826,39933,7255,32678,281,117,164,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,80+,118278,50261,68017,6235,3365,2870,54316,36662,17654,57324,10082,47242,403,152,251,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,Age not stated,54466,30182,24284,39694,22923,16771,13471,6939,6532,1211,282,929,90,38,52,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,Less than 18,7564944,3864090,3700854,7455879,3844746,3611133,104450,18040,86410,2897,592,2305,1718,712,1006,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,Less than 21,9257457,4690672,4566785,8673541,4606383,4067158,572538,82166,490372,6811,966,5845,4567,1157,3410,0,0,0
C-02_Arunachal_Pradesh,C0402,12,00,0000,State - ARUNACHAL PRADESH  12,Total,All ages,1097968,579941,518027,618772,338401,280371,440422,231235,209187,34216,8577,25639,4558,1728,2830,0,0,0
C-02_Arunachal_Pradesh,C0402,12,00,0000,State - ARUNACHAL PRADESH  12,Total,0-9,300019,153034,146985,300019,153034,146985,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Arunachal_Pradesh,C0402,12,00,0000,State - ARUNACHAL PRADESH  12,Total,10-14,142806,72764,70042,141299,72369,68930,1377,349,1028,73,20,53,57,26,31,0,0,0
C-02_Arunachal_Pradesh,C0402,12,00,0000,State - ARUNACHAL PRADESH  12,Total,15-19,110561,57558,53003,99022,55344,43678,11327,2159,9168,96,26,70,116,29,87,0,0,0
C-02_Arunachal_Pradesh,C0402,12,00,0000,State - ARUNACHAL PRADESH  12,Total,20-24,86033,44512,41521,43301,30679,12622,41968,13677,28291,354,78,276,410,78,332,0,0,0
