source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,Less than 10,162960,228776,159199,190742,51,124,244,660,5689,37617,56582,59409,41878,41045,53061,49069,1694,2818
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,10-11,14045,95439,12777,67712,38,171,124,1295,1706,12067,5505,15413,2172,13324,3022,24426,210,1016
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,12-13,17723,294069,14919,210032,65,1153,252,8225,2286,49578,5117,58246,2477,41372,4488,49265,234,2193
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,14-15,56116,931020,46474,702146,399,15000,1504,50872,8275,187633,12202,191738,8097,127139,15512,123758,485,6006
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,16-17,116709,1306344,105463,1095317,3613,102811,8291,148287,29017,336171,27423,260266,15414,140282,20837,97959,868,9541
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,18-19,451849,2072666,424921,1825765,26401,262536,45471,302642,115731,544212,106432,389844,60885,194251,67322,117064,2679,15216
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,20-21,1355943,1489068,1298927,1297696,97389,200593,156713,225959,358722,367036,325566,273184,181324,139751,169557,78573,9656,12600
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,22-23,1136896,608376,1115235,569955,146669,140391,170277,110836,328314,156414,251730,95456,128210,43063,81939,17759,8096,6036
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,24-25,1349540,394327,1321954,360403,168404,93903,189111,67970,377825,95866,300275,57958,175201,29477,101307,11199,9831,4030
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,26-27,743033,154492,735044,145982,146816,46162,127350,28844,211916,37306,138890,19920,73053,9118,31520,2930,5499,1702
