source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,22-23,28319,19432,27335,16850,3593,2928,4451,2796,8823,5059,6208,3522,2697,1571,1545,963,18,11
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,24-25,29094,14947,27708,12134,3455,2107,3765,1770,8336,3444,6532,2600,3406,1388,2192,818,22,7
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,26-27,12726,5859,12198,4985,2155,1102,1858,764,3724,1429,2546,981,1228,472,679,234,8,3
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,28-29,8881,3736,8504,3139,1504,611,1306,483,2486,934,1796,610,948,357,462,142,2,2
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,30-31,8405,2930,7920,2142,831,268,1100,296,2236,588,1918,503,1188,320,643,167,4,0
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,32-33,2370,798,2291,678,385,129,395,108,699,192,507,162,210,59,92,28,3,0
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,34 +,5543,1911,5309,1475,895,351,704,176,1568,490,1326,295,554,109,261,52,1,2
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,Not stated,12363,18049,11276,15095,0,0,0,0,0,0,0,0,0,0,0,0,11276,15095
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,All ages,153218,184299,145256,159590,15533,18774,19595,23019,41347,47240,32310,33424,16338,15437,10694,9502,9439,12194
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,Less than 10,1510,2479,1460,2246,0,4,12,16,246,781,601,736,286,400,315,307,0,2
