state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
NCT of Delhi,age_10_13,07,34.8022,0.6859,1.012,0.4476,0.3237,1.079,0.3844,0.3085,0.5339,0.7201,0.3842,0.6798,0.4319,0.0,4.4483,95.5517
NCT of Delhi,age_14_17,07,3.2659,6.0031,8.2662,5.3906,3.1438,9.1093,3.682,3.2183,5.3764,6.171,3.676,6.6028,4.0345,0.0,4.3895,95.6105
NCT of Delhi,age_18_21,07,2.6007,38.5496,41.1116,37.4838,25.1084,42.5661,27.2215,27.8975,37.3042,28.2539,27.1639,40.1348,27.5952,0.0,6.0421,93.9579
NCT of Delhi,age_22_25,07,2.122,33.0858,30.6876,36.7089,39.2792,30.0413,35.7842,38.7014,35.3815,29.0411,35.6793,33.3745,34.8891,24.8871,6.3426,93.6574
NCT of Delhi,age_26_29,07,1.872,11.6514,8.4677,11.2288,20.4013,7.7177,20.4733,18.1192,11.5203,16.2175,20.5823,9.4695,19.733,32.3496,7.3183,92.6817
NCT of Delhi,age_30_33,07,1.9107,4.2765,3.3105,3.268,5.7091,3.4706,6.4836,5.2908,3.4727,6.6994,6.5412,3.2764,6.4467,31.3419,8.429,91.571
NCT of Delhi,age_34_plus,07,2.3896,1.1874,1.302,0.8808,1.4671,1.3868,1.604,1.3318,0.9553,2.3985,1.6152,1.094,1.6894,31.7338,12.7585,87.2415
NCT of Delhi,age_below10,07,95.9546,1.3246,1.4227,1.338,1.5157,1.3982,1.4027,1.3437,1.3002,1.3539,1.3998,1.3079,1.4011,0.0,72.349,27.651
Rajasthan,age_10_13,08,35.1405,2.4205,3.4185,2.9774,1.9516,3.3694,2.3546,1.6304,2.5681,4.4792,1.7796,3.1676,2.6109,0.0,7.184,92.816
Rajasthan,age_14_17,08,5.2393,11.5959,13.3929,13.3337,8.9691,13.6437,10.8147,9.2625,11.8146,14.5355,8.4139,12.666,11.2971,0.0,6.7528,93.2472
Rajasthan,age_18_21,08,4.6095,54.9417,51.8552,55.5759,45.9378,51.2503,49.508,46.9608,52.8221,41.3601,43.0896,53.3725,49.0965,0.0,8.2848,91.7152
Rajasthan,age_22_25,08,5.0127,21.6974,20.5445,19.8296,29.1776,21.5547,24.8923,27.3331,22.0693,19.4093,29.9594,20.6025,23.8921,14.0763,10.639,89.361
Rajasthan,age_26_29,08,5.7469,2.6038,2.8168,2.354,6.4967,2.8748,5.4454,6.4465,3.4469,4.029,8.7657,2.7135,5.0167,18.2578,14.8611,85.1389
Rajasthan,age_30_33,08,6.5884,0.9162,1.0309,0.848,1.6622,1.3657,1.5314,1.6035,0.9334,1.6215,2.2682,0.8591,1.4862,16.105,19.2896,80.7104
Rajasthan,age_34_plus,08,10.441,0.3098,0.4137,0.312,0.4352,0.5738,0.4251,0.4046,0.2619,0.7208,0.5499,0.2864,0.4515,14.0151,37.6019,62.3981
Rajasthan,age_below10,08,93.1952,1.748,2.287,1.8015,1.7267,1.9608,1.7526,1.5076,1.7282,2.8838,1.7087,2.0104,1.8913,0.0,74.6568,25.3432
Uttar Pradesh,age_10_13,09,39.9498,1.3168,1.812,1.4561,1.1108,1.8708,1.1683,0.9702,1.2274,1.9099,0.7939,1.4833,1.3543,0.0,11.1819,88.8181
Uttar Pradesh,age_14_17,09,5.6812,6.6302,8.808,7.5868,5.4832,8.9444,6.0659,5.2963,6.6482,9.3224,4.2353,7.5842,6.7937,0.0,11.1482,88.8518
Uttar Pradesh,age_18_21,09,3.3301,57.447,52.69,57.511,48.1092,53.8188,51.3879,51.3637,55.8153,45.7524,42.122,55.3598,51.7391,0.0,13.0243,86.9757
Uttar Pradesh,age_22_25,09,3.0542,22.371,20.2447,22.0449,27.5539,21.29,25.6788,25.7641,22.5281,17.5796,31.0334,21.5764,23.6298,15.4661,14.989,85.011
Uttar Pradesh,age_26_29,09,2.8368,2.9653,3.0769,2.9868,6.0741,3.1187,5.4196,5.1291,3.4069,3.5205,9.1991,3.1258,4.7174,20.2049,19.4407,80.5593
Uttar Pradesh,age_30_33,09,3.1079,1.1225,1.2843,1.118,2.2383,1.496,2.0468,1.7392,1.168,1.5517,3.4896,1.2309,1.8108,18.2392,23.7084,76.2916
Uttar Pradesh,age_34_plus,09,4.2387,0.3916,0.5455,0.3998,0.6892,0.6209,0.6268,0.5088,0.3577,0.6478,0.9825,0.4486,0.5842,15.1941,35.6522,64.3478
Uttar Pradesh,age_below10,09,92.5401,1.336,1.5527,1.4142,1.3567,1.6193,1.3324,1.1918,1.272,1.6511,1.2417,1.3665,1.4133,0.0,74.2578,25.7422
Bihar,age_10_13,10,45.2246,0.504,0.5404,0.4646,0.5982,0.6497,0.4565,0.3968,0.45,0.9773,0.3589,0.4845,0.5195,0.0,14.665,85.335
Bihar,age_14_17,10,8.8253,5.2308,5.6596,5.0481,5.5242,6.3666,4.7957,4.5165,5.0921,8.7021,3.7725,5.2833,5.3112,0.0,16.2403,83.7597
Bihar,age_18_21,10,7.1471,51.6884,50.2898,50.4931,47.4805,50.2347,48.213,48.4251,51.3121,44.027,40.4354,51.9209,48.8706,0.0,19.8208,80.1792
Bihar,age_22_25,10,7.1094,30.8118,29.7163,31.8388,31.3734,30.2452,32.2914,31.3951,29.9409,22.345,35.1818,29.6993,30.6626,10.7022,23.2671,76.7329
Bihar,age_26_29,10,7.3202,4.1575,4.1242,4.8,5.842,4.0963,5.8176,5.841,4.3246,4.1063,9.4905,3.9257,5.1574,14.1737,27.9913,72.0087
Bihar,age_30_33,10,7.4988,1.5357,1.4942,1.7362,2.3647,1.6916,2.3072,2.0109,1.4624,1.8512,4.1131,1.3729,2.0311,12.7718,31.317,68.683
Bihar,age_34_plus,10,8.0576,0.526,0.5394,0.5769,0.7299,0.6278,0.7216,0.5741,0.469,0.7556,1.1799,0.4607,0.6581,13.9574,41.3053,58.6947
Bihar,age_below10,10,93.0646,1.1287,1.0532,1.1203,1.2052,1.148,1.1207,1.0906,1.0347,1.2228,1.0997,1.0444,1.129,0.0,76.5421,23.4579
Sikkim,age_10_13,11,46.6625,0.3868,0.5973,0.5594,0.8521,0.6228,0.3971,0.327,0.3076,0.9787,0.3078,0.4221,0.4644,0.0,5.0329,94.9671
Sikkim,age_14_17,11,17.0728,5.4342,6.485,5.2282,4.6865,5.4171,4.0487,1.9082,3.7326,5.1251,3.3598,5.5384,4.2928,0.0,4.0668,95.9332
Sikkim,age_18_21,11,17.0282,29.182,31.3016,29.2028,27.2063,26.0465,25.7681,19.6596,28.1071,22.8614,23.8115,32.7912,25.8422,0.0,5.0246,94.9754
Sikkim,age_22_25,11,16.6717,27.2288,28.1611,28.7603,32.6841,25.9523,31.5106,36.2554,34.2032,23.6384,33.1302,30.2793,30.4297,8.551,5.4345,94.5655
Sikkim,age_26_29,11,14.4416,14.4459,13.3383,14.5149,16.0682,13.9629,18.1445,22.1679,17.0068,13.1939,20.2296,13.6058,17.3113,15.4307,6.7695,93.2305
Sikkim,age_30_33,11,15.3559,8.7797,7.5688,8.7171,7.1211,11.0443,8.9674,8.7567,6.8294,9.4583,9.1421,6.2865,8.9056,12.5833,8.0702,91.9298
Sikkim,age_34_plus,11,24.5492,8.2189,6.1273,6.9676,4.2605,10.961,5.52,3.8068,3.4762,8.4273,4.6518,3.9256,5.8633,10.2841,25.2287,74.7713
Sikkim,age_below10,11,93.9424,0.8702,0.9908,0.918,1.0956,0.7677,0.8461,0.762,0.7332,0.8666,0.8037,0.9986,0.8713,0.0,70.0137,29.9863
Arunachal Pradesh,age_10_13,12,44.1946,0.5213,0.2646,0.354,0.5669,0.376,0.3733,0.4749,0.4547,0.39,0.3758,0.3409,0.3989,0.0,17.0409,82.9591
Arunachal Pradesh,age_14_17,12,9.9302,3.1063,3.5935,3.0165,2.9655,3.1151,2.7675,2.5438,3.5398,3.4653,2.5233,3.4424,2.9698,0.0,12.0215,87.9785
Arunachal Pradesh,age_18_21,12,7.025,32.0517,35.1416,37.6222,31.3999,34.4756,32.4293,29.0461,35.7225,28.9116,27.9686,36.674,32.5393,0.0,14.5328,85.4672
Arunachal Pradesh,age_22_25,12,6.4849,31.3566,31.9344,32.753,32.5338,31.4407,33.7077,34.9839,32.8359,24.6362,34.728,32.3679,32.5535,9.3144,17.4716,82.5284
Arunachal Pradesh,age_26_29,12,6.5783,13.077,12.0931,11.5694,12.9961,12.0703,14.5123,15.6794,12.5314,9.601,17.1978,11.7189,13.7497,16.2949,20.5457,79.4543
Arunachal Pradesh,age_30_33,12,6.9145,8.2655,6.7266,6.0811,8.1989,7.316,7.4434,6.5852,5.5396,5.9518,8.5524,5.9184,7.1076,15.9479,23.8039,76.1961
Arunachal Pradesh,age_34_plus,12,11.0903,5.6805,3.7682,3.4204,4.143,4.6973,3.6063,2.4774,2.1606,3.5291,3.6074,2.8323,3.5317,14.4375,42.9481,57.0519
Arunachal Pradesh,age_below10,12,93.135,0.8689,0.8944,0.8751,1.2211,0.8126,0.934,1.1334,1.0074,0.9826,0.9848,0.8689,0.9677,0.0,78.4378,21.5622
