state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Graduate_share_SC_female,Graduate_share_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
NCT of Delhi,age_22_25,07,2.408,2.6165,66.8958,37.0642,51.2795,,,,,,,14.1997,12.5906,13.3607,7.4988,86.6393,92.5012,,,
NCT of Delhi,age_26_29,07,2.8691,2.4393,85.2112,67.0579,75.5725,,,,,,,16.6398,15.2754,20.3711,9.1444,79.6289,90.8556,,,
NCT of Delhi,age_30_33,07,3.9649,2.5899,93.2042,87.4864,90.199,,,,,,,13.2108,13.9115,30.297,11.3483,69.703,88.6517,,,
NCT of Delhi,age_34_plus,07,7.3763,4.4866,78.9587,91.9007,85.7593,,,,,,,8.5983,13.1516,59.309,23.0104,40.691,76.9896,,,
NCT of Delhi,age_below10,07,95.8104,95.9381,0.0,0.0,0.0,0.3288,0.3239,0.2028,0.2621,31.6953,31.2748,0.0,0.0,73.4551,73.0894,26.5449,26.9106,31.4925,68.3047,68.7252
Rajasthan,age_10_13,08,43.959,40.7566,3.7159,1.7677,2.6849,2.8358,2.9824,5.2975,3.4731,23.381,13.4064,0.0,0.0,17.9984,9.5863,82.0016,90.4137,18.0835,76.619,86.5936
Rajasthan,age_14_17,08,11.5602,7.6587,15.3125,5.6794,10.056,3.7013,5.1373,22.158,22.5714,48.3238,32.49,0.0,0.0,21.7625,9.7701,78.2375,90.2299,26.1659,51.6762,67.51
Rajasthan,age_18_21,08,10.0684,6.7681,63.4698,26.6661,43.69,2.5638,5.0996,41.2112,50.2585,75.5185,58.2881,0.0,0.0,32.4194,11.9513,67.5806,88.0487,34.3072,24.4815,41.7119
Rajasthan,age_22_25,08,11.1827,7.2262,91.2118,68.7879,79.1544,,,,,,,7.1945,9.4119,45.7111,15.0608,54.2889,84.9392,,,
Rajasthan,age_26_29,08,14.5662,8.3116,96.0666,86.4072,91.2194,,,,,,,9.6774,13.0706,60.4477,20.8073,39.5523,79.1927,,,
