state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Graduate_share_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Daman & Diu,age_22_25,25,9.0339,71.5774,54.0264,,,,2.6349,8.9143,91.0857,,
Daman & Diu,age_26_29,25,12.596,85.4671,72.8363,,,,2.765,12.7346,87.2654,,
Daman & Diu,age_30_33,25,18.6538,88.0989,85.7036,,,,2.6923,19.6291,80.3709,,
Daman & Diu,age_34_plus,25,36.4097,67.9432,79.5441,,,,1.5213,61.0738,38.9262,,
Daman & Diu,age_below10,25,94.8454,0.0,0.0,0.7553,0.6042,25.6798,0.0,69.2795,30.7205,25.0755,74.3202
Dadra & Nagar Haveli,age_10_13,26,30.4049,1.849,1.254,1.6584,3.4638,11.966,0.0,6.9277,93.0723,8.5022,88.034
Dadra & Nagar Haveli,age_14_17,26,14.2834,11.4822,6.9795,4.083,23.7881,41.8681,0.0,17.0149,82.9851,18.08,58.1319
Dadra & Nagar Haveli,age_18_21,26,15.9728,52.3619,37.8674,4.0435,41.2716,71.3051,0.0,30.3402,69.6598,30.0335,28.6949
Dadra & Nagar Haveli,age_22_25,26,16.9786,81.1171,73.5041,,,,4.45,42.7196,57.2804,,
Dadra & Nagar Haveli,age_26_29,26,18.846,88.9556,88.5094,,,,6.7846,54.7553,45.2447,,
Dadra & Nagar Haveli,age_30_33,26,21.1132,91.0806,93.4509,,,,6.5777,64.0245,35.9755,,
Dadra & Nagar Haveli,age_34_plus,26,29.5715,76.6913,85.1208,,,,5.8247,86.0273,13.9727,,
Dadra & Nagar Haveli,age_below10,26,95.1592,0.0,0.0,0.3402,0.3969,25.9189,0.0,70.7258,29.2742,25.5221,74.0811
Maharashtra,age_10_13,27,43.7705,3.3305,2.7326,2.7741,4.9686,15.9928,0.0,11.1216,88.8784,11.0242,84.0072
Maharashtra,age_14_17,27,12.8752,11.4652,7.4518,4.6196,24.0726,38.12,0.0,13.8106,86.1894,14.0474,61.88
Maharashtra,age_18_21,27,14.7494,54.8211,36.5769,5.7346,48.9487,67.7986,0.0,21.7503,78.2497,18.8499,32.2014
Maharashtra,age_22_25,27,16.8034,84.1141,70.7633,,,,4.8623,29.2662,70.7338,,
Maharashtra,age_26_29,27,19.3922,90.8052,85.4662,,,,6.3216,38.5144,61.4856,,
Maharashtra,age_30_33,27,24.2874,91.9464,92.3801,,,,5.2747,48.4828,51.5172,,
Maharashtra,age_34_plus,27,31.994,75.43,83.8261,,,,3.2085,71.3449,28.6551,,
Maharashtra,age_below10,27,95.1354,0.0,0.0,1.5105,1.3615,34.2462,0.0,74.7113,25.2887,32.8847,65.7538
Andhra Pradesh,age_10_13,28,23.9864,2.3009,1.7208,2.3162,8.7777,19.599,0.0,14.4873,85.5127,10.8213,80.401
Andhra Pradesh,age_14_17,28,5.5156,12.0151,7.0694,3.6206,29.1955,39.9558,0.0,20.4999,79.5001,10.7603,60.0442
Andhra Pradesh,age_18_21,28,6.8231,59.4418,39.4562,4.2309,53.9577,69.3612,0.0,35.4315,64.5685,15.4035,30.6388
Andhra Pradesh,age_22_25,28,9.2882,85.7942,74.5397,,,,12.1954,51.1908,48.8092,,
Andhra Pradesh,age_26_29,28,13.7207,91.1999,88.2383,,,,12.9715,67.5077,32.4923,,
Andhra Pradesh,age_30_33,28,16.6107,90.5783,92.2769,,,,9.64,76.2471,23.7529,,
Andhra Pradesh,age_34_plus,28,18.4645,73.9942,83.147,,,,5.5405,90.4906,9.5094,,
Andhra Pradesh,age_below10,28,91.3981,0.0,0.0,1.3061,1.8354,30.5348,0.0,73.5767,26.4233,28.6994,69.4652
Karnataka,age_10_13,29,29.8021,2.9148,2.0668,2.1052,5.2275,14.3423,0.0,8.9325,91.0675,9.1148,85.6577
Karnataka,age_14_17,29,5.3882,11.88,6.9799,3.1296,23.3721,41.7754,0.0,12.9743,87.0257,18.4033,58.2246
Karnataka,age_18_21,29,7.0297,53.8092,31.7682,3.0074,42.9489,74.2168,0.0,21.071,78.929,31.2678,25.7832
Karnataka,age_22_25,29,8.9343,81.6797,61.7097,,,,7.2976,29.1177,70.8823,,
Karnataka,age_26_29,29,13.4112,88.7425,78.9857,,,,7.9312,42.0183,57.9817,,
Karnataka,age_30_33,29,17.5833,89.7747,89.1854,,,,6.6985,53.0112,46.9888,,
Karnataka,age_34_plus,29,26.571,70.1834,81.432,,,,4.0781,77.4421,22.5579,,
Karnataka,age_below10,29,95.6159,0.0,0.0,1.0316,0.8596,35.8465,0.0,74.1379,25.8621,34.9869,64.1535
Goa,age_10_13,30,31.0745,3.5219,2.7935,3.9639,0.7188,4.6005,0.0,2.711,97.289,3.8817,95.3995
Goa,age_14_17,30,1.1841,9.4345,6.3863,5.4708,4.7079,13.2956,0.0,2.4412,97.5588,8.5876,86.7044
Goa,age_18_21,30,2.1703,17.2082,12.1366,7.8776,19.3878,40.7347,0.0,2.2041,97.7959,21.3469,59.2653
Goa,age_22_25,30,3.172,43.4749,29.6711,,,,10.8211,3.1055,96.8945,,
Goa,age_26_29,30,5.1828,70.5676,52.9759,,,,8.2954,5.4815,94.5185,,
Goa,age_30_33,30,9.606,84.3838,73.7353,,,,4.2223,10.3686,89.6314,,
Goa,age_34_plus,30,20.825,64.8298,76.3855,,,,1.7881,53.3263,46.6737,,
