state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female
Bihar,age_below10,10,93.8045,2.5593,2.0087,2.575,2.6644,2.3394,2.4612,1.8225,1.9386,2.1083,2.0574,1.9705,2.2378,0.0,77.8541,22.1459
Sikkim,age_10_13,11,41.0791,1.5397,1.7496,1.8858,3.4743,3.2521,1.5053,0.3796,0.6874,2.0534,1.0232,1.2472,1.8162,0.0,5.1374,94.8626
Sikkim,age_14_17,11,11.7089,25.0522,28.3179,22.4826,22.8097,22.7385,19.0592,8.5263,19.2036,20.9853,14.2106,27.4934,20.7112,0.0,4.7074,95.2926
Sikkim,age_18_21,11,11.2583,39.1701,39.6825,39.8645,32.4773,36.9337,36.9362,38.9732,43.8321,38.7335,33.4475,41.7226,38.1792,0.0,5.7305,94.2695
Sikkim,age_22_25,11,13.1381,16.9885,14.2857,17.5613,17.5227,17.1146,20.4775,26.8789,17.6369,17.8126,24.3488,14.1977,18.671,10.2306,8.0029,91.9971
Sikkim,age_26_29,11,14.2616,6.263,5.3552,6.5727,7.4018,6.6649,9.3459,10.2202,5.7345,6.1378,12.9673,4.0985,7.3759,17.4318,12.7593,87.2407
Sikkim,age_30_33,11,17.034,3.0532,2.0894,3.2149,3.1722,4.2707,3.9673,3.364,1.8454,2.6236,4.9692,1.408,3.1757,12.678,18.7001,81.2999
Sikkim,age_34_plus,11,24.0118,2.0094,1.1461,2.0103,2.4169,3.0876,1.9739,1.2052,0.5821,1.5316,1.9159,0.6785,1.7447,8.1742,52.8029,47.1971
Sikkim,age_below10,11,94.2518,1.2526,1.709,1.721,2.719,1.8989,1.4698,0.9916,1.4924,1.7313,1.1903,1.8747,1.6765,0.0,69.3489,30.6511
Arunachal Pradesh,age_10_13,12,43.1052,1.8012,1.5968,0.9815,1.9324,1.3408,1.116,0.8698,1.1504,1.441,1.3236,1.5516,1.2701,0.0,20.6288,79.3712
Arunachal Pradesh,age_14_17,12,9.4052,17.8193,20.6631,13.5949,15.2778,15.5266,14.0943,10.8726,17.2831,16.718,14.7235,20.1148,15.4768,0.0,16.445,83.555
Arunachal Pradesh,age_18_21,12,6.3779,51.5743,52.2801,57.1276,52.3551,52.5733,54.1438,48.8681,53.9326,48.1558,46.4951,53.8201,51.5907,0.0,22.3696,77.6304
Arunachal Pradesh,age_22_25,12,6.8919,14.8907,12.1583,15.5644,14.372,15.7827,16.6031,18.9629,12.9978,15.1352,19.872,11.1232,15.8003,9.7598,29.0011,70.9989
Arunachal Pradesh,age_26_29,12,8.0045,3.9736,2.8349,4.2696,3.9251,4.4557,4.9957,5.4474,3.0756,4.0297,7.2273,2.4496,4.5067,14.2968,38.3509,61.6491
Arunachal Pradesh,age_30_33,12,9.6134,2.1587,0.9066,1.7134,1.8116,2.0302,1.9096,1.4051,0.7054,1.4831,2.4066,0.7655,1.6987,10.8041,46.205,53.795
Arunachal Pradesh,age_34_plus,12,13.3182,1.1825,0.3992,0.9051,0.785,1.1149,0.9184,0.4684,0.2637,0.6861,0.9114,0.2915,0.8214,8.9303,71.2419,28.7581
Arunachal Pradesh,age_below10,12,93.6212,1.4162,1.3938,1.3056,1.6908,1.2103,1.3387,1.4636,1.4504,1.2759,1.4004,1.5045,1.3282,0.0,79.4774,20.5226
Nagaland,age_10_13,13,37.124,1.0541,0.6145,0.3391,0.7892,0.7656,0.4377,0.3881,0.5109,0.9651,0.6583,0.615,0.5927,0.0,13.6703,86.3297
Nagaland,age_14_17,13,7.9644,14.4011,12.5266,8.6642,11.9504,10.4575,9.191,7.491,11.7393,12.8283,10.0268,13.0843,10.5089,0.0,10.4589,89.5411
Nagaland,age_18_21,13,6.802,37.7823,39.735,39.4844,36.274,36.4756,37.6267,34.5144,40.8439,36.0095,31.3751,41.6845,37.2119,0.0,12.2138,87.7862
Nagaland,age_22_25,13,7.0178,22.9843,22.7552,25.4831,24.5772,23.7563,25.4237,26.1697,23.3362,21.4645,25.6383,22.4444,23.9197,10.1206,14.3279,85.6721
Nagaland,age_26_29,13,7.327,9.8563,9.7306,11.3207,11.6122,11.2413,12.054,11.6588,8.8588,8.6797,14.9032,8.7295,10.7976,15.8776,17.1598,82.8402
Nagaland,age_30_33,13,8.1152,4.011,4.2755,5.2096,4.566,6.1185,5.4698,4.2274,3.0332,3.5945,6.6332,3.2242,4.721,12.6173,20.1923,79.8077
Nagaland,age_34_plus,13,15.3762,2.3682,2.4028,2.8211,2.0293,3.7139,2.6951,1.352,1.1731,1.7061,2.3611,1.3792,2.2894,6.0666,40.6556,59.3444
Nagaland,age_below10,13,93.6729,1.9576,1.596,1.611,1.7193,1.5904,1.5846,1.3646,1.6003,1.6625,1.4307,1.6732,1.6076,0.0,76.8941,23.1059
Manipur,age_10_13,14,31.2083,0.5815,0.68,0.5641,0.7195,0.7783,0.5642,0.4047,0.5072,0.6182,0.5226,0.6017,0.594,0.0,14.0953,85.9047
Manipur,age_14_17,14,4.1311,12.3687,13.7621,9.7626,10.2549,13.1133,9.7172,7.3265,11.9322,11.4951,8.995,13.0544,10.7764,0.0,10.7504,89.2496
Manipur,age_18_21,14,3.0308,40.3748,39.8308,37.0043,35.7435,39.3472,34.9223,33.1797,39.877,35.7869,30.2874,39.5594,35.9019,0.0,14.1567,85.8433
