state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Graduate_share_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Madhya Pradesh,age_18_21,23,11.6848,29.5601,44.6482,5.8463,61.5191,69.2499,0.0,23.6293,76.3707,30.7501
Madhya Pradesh,age_22_25,23,13.4024,73.9658,81.3538,,,,2.9928,30.7759,69.2241,
Madhya Pradesh,age_26_29,23,16.7688,88.5556,91.7455,,,,5.7859,41.4685,58.5315,
Madhya Pradesh,age_30_33,23,18.9469,94.1699,94.658,,,,6.1143,47.7162,52.2838,
Madhya Pradesh,age_34_plus,23,28.5442,90.6842,85.0183,,,,4.8847,64.4464,35.5536,
Madhya Pradesh,age_below10,23,95.7384,0.0,0.0,1.3355,1.1307,39.9991,0.0,77.5761,22.4239,60.0009
Gujarat,age_10_13,24,28.867,1.866,2.467,2.4979,5.581,17.0852,0.0,9.7857,90.2143,82.9148
Gujarat,age_14_17,24,9.558,4.8142,8.2067,4.5683,28.5638,40.8513,0.0,11.4146,88.5854,59.1487
Gujarat,age_18_21,24,10.5198,26.8242,40.4143,6.5728,55.4841,64.9978,0.0,14.2113,85.7887,35.0022
Gujarat,age_22_25,24,13.108,65.2436,74.25,,,,4.0212,18.4142,81.5858,
Gujarat,age_26_29,24,15.3241,83.4224,87.6089,,,,6.2356,22.9377,77.0623,
Gujarat,age_30_33,24,17.1701,91.3248,92.2747,,,,5.9241,27.5027,72.4973,
Gujarat,age_34_plus,24,28.5051,90.1514,84.3993,,,,5.0372,46.6973,53.3027,
Gujarat,age_below10,24,93.3226,0.0,0.0,1.1103,1.1762,35.0954,0.0,75.0265,24.9735,64.9046
Daman & Diu,age_10_13,25,28.3142,0.3927,0.9973,1.2841,1.9262,6.7416,0.0,1.9262,98.0738,93.2584
Daman & Diu,age_14_17,25,7.2508,1.1111,3.2096,3.2305,15.5653,26.138,0.0,2.79,97.21,73.862
Daman & Diu,age_18_21,25,7.6923,8.7143,24.3553,4.8433,41.3105,55.5556,0.0,3.7037,96.2963,44.4444
Daman & Diu,age_22_25,25,9.1022,37.0317,54.0264,,,,1.7456,5.3129,94.6871,
Daman & Diu,age_26_29,25,11.7727,60.4414,72.8363,,,,2.571,5.8599,94.1401,
Daman & Diu,age_30_33,25,12.6984,83.477,85.7036,,,,3.4921,9.4828,90.5172,
Daman & Diu,age_34_plus,25,30.8548,91.6667,79.5441,,,,2.7518,29.538,70.462,
Daman & Diu,age_below10,25,96.0976,0.0,0.0,0.7042,0.0,27.8873,0.0,69.764,30.236,72.1127
Dadra & Nagar Haveli,age_10_13,26,28.242,0.6906,1.254,1.1521,1.7131,6.5117,0.0,3.1256,96.8744,93.4883
Dadra & Nagar Haveli,age_14_17,26,6.8856,2.7918,6.9795,4.8149,15.0638,24.782,0.0,4.9286,95.0714,75.218
Dadra & Nagar Haveli,age_18_21,26,7.9356,22.7853,37.8674,5.6837,41.598,50.8786,0.0,7.9627,92.0373,49.1214
Dadra & Nagar Haveli,age_22_25,26,12.5581,65.3761,73.5041,,,,4.4958,13.3657,86.6343,
Dadra & Nagar Haveli,age_26_29,26,17.2535,88.0573,88.5094,,,,5.6052,23.2558,76.7442,
Dadra & Nagar Haveli,age_30_33,26,19.8896,95.8244,93.4509,,,,4.8464,30.9362,69.0638,
Dadra & Nagar Haveli,age_34_plus,26,31.7588,94.1596,85.1208,,,,5.3249,56.0334,43.9666,
Dadra & Nagar Haveli,age_below10,26,94.5612,0.0,0.0,0.3256,0.2623,24.0525,0.0,69.8275,30.1725,75.9475
Maharashtra,age_10_13,27,43.2416,2.1785,2.7326,2.7275,4.3547,12.7449,0.0,8.2379,91.7621,87.2551
Maharashtra,age_14_17,27,11.0875,3.9066,7.4518,5.0844,24.1736,32.5742,0.0,9.3492,90.6508,67.4258
Maharashtra,age_18_21,27,11.3637,18.3191,36.5769,6.7848,49.2773,56.3442,0.0,11.133,88.867,43.6558
Maharashtra,age_22_25,27,13.1645,57.6731,70.7633,,,,5.9423,14.6982,85.3018,
Maharashtra,age_26_29,27,16.2873,80.3207,85.4662,,,,8.5042,20.9729,79.0271,
Maharashtra,age_30_33,27,20.1788,92.8117,92.3801,,,,7.4468,26.9459,73.0541,
Maharashtra,age_34_plus,27,34.2739,92.447,83.8261,,,,5.7064,44.2382,55.7618,
Maharashtra,age_below10,27,94.9649,0.0,0.0,1.5383,1.3237,32.8157,0.0,74.0354,25.9646,67.1843
Andhra Pradesh,age_10_13,28,25.0332,1.1811,1.7208,2.3711,6.598,14.4726,0.0,9.7234,90.2766,85.5274
Andhra Pradesh,age_14_17,28,4.4391,2.7387,7.0694,4.2425,26.9481,33.4113,0.0,12.4817,87.5183,66.5887
Andhra Pradesh,age_18_21,28,4.5014,18.3533,39.4562,5.8426,46.625,52.4377,0.0,16.9183,83.0817,47.5623
Andhra Pradesh,age_22_25,28,5.575,62.5953,74.5397,,,,17.5016,25.3016,74.6984,
Andhra Pradesh,age_26_29,28,8.0819,85.1012,88.2383,,,,19.5393,39.5411,60.4589,
Andhra Pradesh,age_30_33,28,9.9809,93.9662,92.2769,,,,14.8422,49.5477,50.4523,
Andhra Pradesh,age_34_plus,28,14.5988,92.6303,83.147,,,,9.4411,72.1654,27.8346,
Andhra Pradesh,age_below10,28,91.2966,0.0,0.0,1.3563,1.5244,28.8269,0.0,72.8843,27.1157,71.1731
Karnataka,age_10_13,29,30.0289,1.2554,2.0668,2.3265,4.6937,10.9252,0.0,5.8874,94.1126,89.0748
Karnataka,age_14_17,29,4.7299,2.6509,6.9799,4.0037,28.2751,36.0259,0.0,8.2438,91.7562,63.9741
Karnataka,age_18_21,29,6.2097,10.4516,31.7682,5.1039,56.8335,64.4979,0.0,11.6567,88.3433,35.5021
Karnataka,age_22_25,29,7.7858,42.0789,61.7097,,,,8.3277,14.9246,85.0754,
Karnataka,age_26_29,29,10.9178,69.3732,78.9857,,,,10.6056,22.9713,77.0287,
Karnataka,age_30_33,29,13.4902,88.5985,89.1854,,,,10.2512,30.1094,69.8906,
Karnataka,age_34_plus,29,23.3847,93.1851,81.432,,,,8.3995,51.0358,48.9642,
Karnataka,age_below10,29,95.5154,0.0,0.0,1.0748,0.8773,35.1494,0.0,73.7611,26.2389,64.8506
Goa,age_10_13,30,32.0032,2.111,2.7935,3.5921,0.8497,4.5384,0.0,2.2402,97.7598,95.4616
Goa,age_14_17,30,1.7278,3.4094,6.3863,5.1406,3.8607,10.7218,0.0,1.6366,98.3634,89.2782
Goa,age_18_21,30,2.0383,7.1372,12.1366,8.3433,18.1238,33.2136,0.0,2.0758,97.9242,66.7864
Goa,age_22_25,30,2.2917,15.883,29.6711,,,,7.8205,2.0101,97.9899,
Goa,age_26_29,30,2.7575,34.1362,52.9759,,,,8.0591,2.4811,97.5189,
Goa,age_30_33,30,4.1743,62.6175,73.7353,,,,6.2615,4.2891,95.7109,
Goa,age_34_plus,30,20.0457,89.3661,76.3855,,,,3.5493,24.4796,75.5204,
Goa,age_below10,30,95.6226,0.0,0.0,2.6325,1.0881,26.7989,0.0,71.8767,28.1233,73.2011
Lakshadweep,age_10_13,31,30.8433,0.5766,1.3003,0.5348,0.2674,2.8966,0.0,2.7629,97.2371,97.1034
Lakshadweep,age_14_17,31,1.3551,1.9053,3.8714,1.2512,1.2048,6.5338,0.0,0.8341,99.1659,93.4662
Lakshadweep,age_18_21,31,1.711,3.3805,12.3268,1.306,7.6493,37.5933,0.0,1.8657,98.1343,62.4067
Lakshadweep,age_22_25,31,3.2366,12.1212,35.8998,,,,5.878,1.3578,98.6422,
Lakshadweep,age_26_29,31,4.3575,36.2627,58.5236,,,,10.4655,1.7204,98.2796,
Lakshadweep,age_30_33,31,5.6572,72.0787,80.7799,,,,8.777,1.435,98.565,
Lakshadweep,age_34_plus,31,17.3874,93.2469,83.739,,,,5.1515,5.7533,94.2467,
Lakshadweep,age_below10,31,97.3802,0.0,0.0,0.5939,0.1485,17.706,0.0,74.6682,25.3318,82.294
Kerala,age_10_13,32,32.034,0.5552,0.9488,0.7396,1.2244,7.1514,0.0,3.4633,96.5367,92.8486
Kerala,age_14_17,32,8.5524,1.2789,3.7069,1.7923,14.428,26.3313,0.0,3.4817,96.5183,73.6687
Kerala,age_18_21,32,10.6159,7.6779,24.2596,2.4471,48.0157,61.1005,0.0,4.6913,95.3087,38.8995
Kerala,age_22_25,32,10.8533,32.7698,52.2052,,,,6.1762,6.4748,93.5252,
Kerala,age_26_29,32,13.91,58.4549,70.3594,,,,5.8628,10.2352,89.7648,
Kerala,age_30_33,32,15.319,80.0282,81.9987,,,,4.0993,13.6034,86.3966,
Kerala,age_34_plus,32,27.0183,89.9749,77.5096,,,,3.0795,33.7661,66.2339,
Kerala,age_below10,32,95.7899,0.0,0.0,0.4929,0.2556,25.9766,0.0,71.7795,28.2205,74.0234
Tamil Nadu,age_10_13,33,16.0228,0.7979,1.4144,1.7722,4.0829,13.8526,0.0,8.0318,91.9682,86.1474
Tamil Nadu,age_14_17,33,3.5132,2.1989,6.5194,2.5033,26.569,39.7005,0.0,10.6803,89.3197,60.2995
Tamil Nadu,age_18_21,33,4.0421,14.4181,37.206,2.7108,54.5069,67.4112,0.0,15.065,84.935,32.5888
Tamil Nadu,age_22_25,33,5.1226,54.6937,70.6494,,,,9.334,22.1039,77.8961,
Tamil Nadu,age_26_29,33,7.0767,80.4741,86.3198,,,,9.4249,32.5197,67.4803,
Tamil Nadu,age_30_33,33,8.2095,92.4446,92.2684,,,,8.1022,39.4098,60.5902,
Tamil Nadu,age_34_plus,33,12.8466,92.3425,83.3707,,,,5.2662,63.2741,36.7259,
Tamil Nadu,age_below10,33,90.6778,0.0,0.0,1.3233,1.0596,24.301,0.0,73.6765,26.3235,75.699
