state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Punjab,age_34_plus,03,5.5275,4.5354,3.024,1.0943,6.302,3.3837,0.1757,1.7679,0.2971,1.2334,0.2039,1.2946,0.1836,0.9125,0.2546,1.478,0.2728,1.4722,50.4012,23.6187,65.7908,46.9915,40.5268,22.7882,7.7461,4.9853,72.9894,51.6782,51.7912,36.2044,49.5988,76.3813,34.2092,53.0085,59.4732,77.2118,92.2539,95.0147,27.0106,48.3218,48.2088,63.7956,16.1105,15.3999,15.539,7.5515,15.4054,16.5991
Punjab,age_below10,03,95.1429,94.2536,94.8025,96.0648,94.4077,95.0337,1.3395,1.4318,0.8492,1.0831,0.9728,1.1684,0.8686,1.7261,0.9513,1.0155,0.8156,0.9627,73.0146,72.234,74.0861,72.9339,74.1535,73.0105,69.5882,69.5538,77.5615,76.0478,72.6888,71.7643,26.9854,27.766,25.9139,27.0661,25.8465,26.9895,30.4118,30.4462,22.4385,23.9522,27.3112,28.2357,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,age_10_13,04,26.6667,36.4017,38.8174,21.5686,44.1146,26.023,0.9009,0.4219,0.84,0.1393,2.2061,0.5656,0.0,0.0,2.9123,0.2688,0.4577,0.1129,0.0,3.4483,3.629,3.9877,6.8579,5.1805,0.0,0.0,6.4176,8.0431,2.3416,1.8574,100.0,96.5517,96.371,96.0123,93.1421,94.8195,100.0,100.0,93.5824,91.9569,97.6584,98.1426,0.0,4.1841,6.4079,3.9216,5.2712,7.8645
Chandigarh,age_14_17,04,0.0,3.9216,4.3674,0.0,6.175,0.8952,7.2072,2.5316,9.2818,1.4856,17.0973,4.3774,4.0584,0.5226,24.1956,4.9652,6.314,0.7776,2.5641,5.4545,3.0418,2.8986,6.7432,5.6097,0.0,1.5385,8.3814,12.6233,1.171,0.9728,97.4359,94.5455,96.9582,97.1014,93.2568,94.3903,100.0,98.4615,91.6186,87.3767,98.829,99.0272,28.9474,39.6078,40.5093,46.2963,38.422,41.6798
Chandigarh,age_18_21,04,0.0,4.2683,2.1359,0.0,3.3333,0.396,36.036,20.2532,29.0634,15.9239,38.5151,27.6209,29.7078,9.2334,47.675,35.7132,31.7493,11.9232,2.381,3.8462,6.2857,5.291,7.8052,7.6295,0.0,0.0,12.9534,13.5837,1.4057,0.9543,97.619,96.1538,93.7143,94.709,92.1948,92.3705,100.0,100.0,87.0466,86.4163,98.5943,99.0457,2.439,17.6829,12.0942,0.0,22.5,5.8218
Chandigarh,age_22_25,04,1.1765,2.2026,1.7386,0.0,3.8125,0.2767,19.8198,22.3629,24.9475,29.5265,21.2353,31.6421,39.2857,33.4495,11.4485,35.7132,30.7442,32.8312,3.4091,1.3245,9.9206,5.4656,11.721,7.2511,1.1364,0.0,20.3202,15.1141,1.472,0.9807,96.5909,98.6755,90.0794,94.5344,88.279,92.7489,98.8636,100.0,79.6798,84.8859,98.528,99.0193,2.9412,9.6916,11.7778,1.1494,21.2262,3.9563
Chandigarh,age_26_29,04,1.9231,3.0233,2.0128,1.0638,5.6136,0.2863,13.0631,26.5823,14.8677,31.2906,6.49,21.4525,10.0649,38.8502,2.2534,11.7094,10.9339,32.3898,8.7719,2.5641,9.4737,4.0476,17.8302,8.7554,0.0,0.0,32.954,18.8503,2.2233,1.3395,91.2281,97.4359,90.5263,95.9524,82.1698,91.2446,100.0,100.0,67.046,81.1497,97.7767,98.6605,3.8462,8.8372,12.5154,1.0638,20.3655,5.6594
Chandigarh,age_30_33,04,0.0,1.9737,2.4068,0.0,6.4677,0.5021,6.3063,12.2363,3.9479,11.5599,1.0195,5.863,0.974,7.3171,0.4965,3.7951,2.0244,10.1422,6.6667,6.4516,11.6279,4.0712,23.5813,10.5745,1.3514,2.3529,42.7677,23.3812,3.6012,1.5933,93.3333,93.5484,88.3721,95.9288,76.4187,89.4255,98.6486,97.6471,57.2323,76.6188,96.3988,98.4067,7.1429,8.8816,12.2781,0.0,18.7065,7.2103
Chandigarh,age_34_plus,04,3.2787,2.407,2.7704,1.5837,9.8219,1.4208,0.0,6.3291,1.428,3.4355,0.3057,1.393,0.487,2.0906,0.1337,1.1385,0.6017,2.9,22.293,9.6045,17.0599,7.3557,31.7047,14.8184,3.2823,1.0799,62.0131,35.6249,12.9384,4.5256,77.707,90.3955,82.9401,92.6443,68.2953,85.1816,96.7177,98.9201,37.9869,64.3751,87.0616,95.4744,13.9344,10.7221,12.1178,5.2036,15.6503,9.4483
Chandigarh,age_below10,04,100.0,98.0892,97.0886,96.0,96.4952,97.8807,1.3514,0.4219,0.672,0.8357,1.0287,1.1392,0.8117,1.2195,0.7639,0.9409,0.9155,1.2344,76.0,71.7391,73.6134,69.541,73.1649,72.1495,75.4902,70.0935,74.3888,72.7273,70.9396,69.5491,24.0,28.2609,26.3866,30.459,26.8351,27.8505,24.5098,29.9065,25.6112,27.2727,29.0604,30.4509,0.0,0.0,0.0,0.0,0.0,0.0
