state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
Punjab,age_34_plus,03,3.2568,3.3016,0.3413,1.3449,0.2494,1.6807,0.5834,1.6369,0.4057,1.2149,0.4006,1.8872,0.46,1.4019,0.2025,1.1565,0.162,1.2262,0.2799,1.9282,0.4717,1.3274,0.205,1.3161,0.3041,1.4819,12.2905,12.4095,48.0691,31.506,51.9309,68.494
Punjab,age_below10,03,94.8948,95.0086,0.8944,0.8909,0.8846,0.9149,0.9788,0.975,1.1591,1.2287,0.9363,0.8776,1.0865,1.1164,0.9702,1.202,0.9297,1.0829,0.9651,0.9523,1.1293,1.2191,0.8994,0.983,0.978,1.0866,0.0,0.0,73.4462,72.3962,26.5538,27.6038
Chandigarh,age_10_13,04,37.821,38.8882,3.1088,1.2685,3.9885,1.161,1.0417,0.1937,2.3018,0.5756,5.9997,1.2868,2.0829,0.5079,0.4293,0.3118,1.4404,0.7102,2.2716,0.5781,2.0797,0.5063,2.498,0.8618,2.2401,0.5189,0.0,0.0,6.3705,4.9837,93.6295,95.0163
Chandigarh,age_14_17,04,4.0237,4.0912,23.3161,5.1797,31.8888,9.62,11.9792,2.5178,21.3555,4.0292,36.4661,10.1634,15.3762,4.1544,8.8035,2.5933,21.1137,6.0377,18.6469,3.9281,15.2731,4.1621,27.8449,7.2756,18.026,4.1663,0.0,0.0,6.1508,5.4639,93.8492,94.5361
Chandigarh,age_18_21,04,1.9525,3.048,31.6062,30.5497,47.1716,45.778,41.1458,29.632,46.9309,28.7414,44.0103,47.5039,29.8655,27.3207,49.9021,23.6796,56.317,39.5866,44.8858,20.7205,29.5712,27.2789,52.7715,43.4869,41.7879,26.7909,0.0,0.0,7.1813,7.2552,92.8187,92.7448
Chandigarh,age_22_25,04,1.6009,2.4444,20.2073,30.2326,8.6865,27.7443,25.5208,34.9903,19.4373,36.7613,7.587,27.3907,29.562,33.4691,27.9867,38.6459,14.048,34.4856,22.6098,28.5584,29.7569,33.4373,10.4789,31.6493,23.9713,32.808,32.3021,22.0737,10.641,7.0282,89.359,92.9718
Chandigarh,age_26_29,04,1.9096,2.2645,10.3627,20.5074,1.5916,7.5543,10.9375,19.561,5.1151,19.1865,1.2578,6.3111,15.1072,22.9919,6.267,22.9125,1.9218,11.0503,5.6425,24.819,15.2842,23.063,1.5642,8.6179,7.5596,23.0121,43.0191,32.169,16.4968,8.5412,83.5032,91.4588
Chandigarh,age_30_33,04,2.2281,2.4998,2.5907,5.814,0.3452,2.111,2.6042,6.1975,1.2788,5.1804,0.3708,2.5789,2.9117,6.2804,1.109,5.6512,0.3032,2.8158,0.8963,9.0641,2.9376,6.2943,0.3435,2.6591,1.3039,6.5538,39.7548,30.3798,21.7422,10.2811,78.2578,89.7189
Chandigarh,age_34_plus,04,2.5545,2.4254,1.0363,1.5856,0.1918,0.7992,0.0,2.4532,0.3836,1.3431,0.2353,1.0278,0.8015,1.4813,0.3762,1.3834,0.1403,0.7737,0.325,3.1765,0.8096,1.4763,0.1634,0.9163,0.4191,1.6664,37.1952,35.0193,28.7696,13.8066,71.2304,86.1934
Chandigarh,age_below10,04,97.1103,97.1101,3.6269,1.1628,1.0738,1.0253,1.0417,1.3557,1.023,1.4198,1.5987,0.937,1.1668,1.1977,0.7252,1.2048,0.6975,1.1108,1.0743,0.8945,1.1606,1.1945,0.7537,1.054,1.1008,1.1653,0.0,0.0,73.0714,71.9369,26.9286,28.0631
Uttarakhand,age_10_13,05,32.9348,34.7797,3.3073,0.276,3.4994,0.6994,3.9811,0.4334,2.6679,0.3067,6.1944,0.7059,3.338,0.2909,0.6024,0.1888,0.9943,0.2932,3.2531,0.7358,1.8107,0.2257,1.9788,0.4905,3.3587,0.3592,0.0,0.0,6.0126,5.138,93.9874,94.862
