state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Graduate_share_ST_female,Graduate_share_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Nagaland,age_18_21,13,6.5057,6.7453,18.5914,6.6641,12.6079,12.9719,13.1967,29.0008,29.5075,41.5879,40.8429,0.0,0.0,11.2574,10.1106,88.7426,89.8894,12.5871,58.4121,59.1571
Nagaland,age_22_25,13,6.7764,6.4284,41.0468,22.5828,31.9801,,,,,,,10.076,9.1813,13.0264,10.9093,86.9736,89.0907,,,
Nagaland,age_26_29,13,7.1725,6.1911,59.9326,44.7385,52.6083,,,,,,,15.8454,17.7145,15.568,11.4599,84.432,88.5401,,,
Nagaland,age_30_33,13,7.9229,6.5266,74.2533,68.304,71.3459,,,,,,,12.4009,15.7309,18.4768,12.718,81.5232,87.282,,,
Nagaland,age_34_plus,13,15.5797,11.6986,76.9439,88.0883,82.6069,,,,,,,5.5551,9.6073,40.3398,24.7378,59.6602,75.2622,,,
Nagaland,age_below10,13,93.7772,93.1448,0.0,0.0,0.0,5.0377,4.869,1.514,1.5894,28.4689,28.6285,0.0,0.0,76.4938,76.3115,23.5062,23.6885,26.9549,71.5311,71.3715
Manipur,age_10_13,14,29.0071,30.283,1.8844,0.8002,1.3224,7.063,7.0467,3.8702,3.619,13.1345,12.1829,0.0,0.0,18.4421,17.5001,81.5579,82.4999,9.2643,86.8655,87.8171
Manipur,age_14_17,14,4.5846,4.481,5.6253,1.8286,3.6989,9.9286,10.6337,11.4062,10.6517,19.5803,17.5842,0.0,0.0,13.1236,11.4407,86.8764,88.5593,8.1741,80.4197,82.4158
Manipur,age_18_21,14,3.2513,2.4819,17.8031,6.5626,12.1394,10.9548,11.5594,24.1368,22.0316,35.8147,30.5803,0.0,0.0,16.5986,13.8183,83.4014,86.1817,11.6779,64.1853,69.4197
Manipur,age_22_25,14,3.8288,2.6065,39.2585,22.6212,31.1344,,,,,,,10.1857,13.1217,20.5736,15.844,79.4264,84.156,,,
Manipur,age_26_29,14,4.9147,2.9284,57.5067,44.0059,50.9466,,,,,,,14.8802,20.3824,26.0462,18.1098,73.9538,81.8902,,,
Manipur,age_30_33,14,5.7697,3.5051,71.2587,65.6232,68.4951,,,,,,,13.9387,19.8522,30.558,20.5139,69.442,79.4861,,,
Manipur,age_34_plus,14,11.1683,6.1267,78.6161,89.4052,83.9986,,,,,,,7.6856,13.7671,51.2763,31.7485,48.7237,68.2515,,,
Manipur,age_below10,14,88.5609,87.8655,0.0,0.0,0.0,3.9301,4.1103,2.1435,2.0614,26.5163,25.8294,0.0,0.0,78.434,78.2449,21.566,21.7551,24.3728,73.4837,74.1706
Mizoram,age_10_13,15,31.0047,34.9315,1.3051,0.6117,0.953,2.8881,2.6753,1.5813,1.3311,7.8051,5.8335,0.0,0.0,6.6895,5.007,93.3105,94.993,6.2239,92.1949,94.1665
Mizoram,age_14_17,15,6.7419,6.9899,6.0305,1.4713,3.7164,5.0989,5.425,11.706,13.7594,21.1508,19.1241,0.0,0.0,5.6755,3.5169,94.3245,96.4831,9.4448,78.8492,80.8759
Mizoram,age_18_21,15,7.4454,7.338,28.8704,12.4077,20.7421,5.3557,6.9303,27.7812,35.0318,47.3792,43.195,0.0,0.0,8.3448,4.6378,91.6552,95.3622,19.598,52.6208,56.805
Mizoram,age_22_25,15,8.8959,8.6717,53.5395,38.1246,46.0259,,,,,,,6.6868,6.1443,9.4726,5.2462,90.5274,94.7538,,,
Mizoram,age_26_29,15,10.7128,10.7815,66.5581,59.0378,62.8969,,,,,,,11.1244,11.2274,9.2311,5.2939,90.7689,94.7061,,,
Mizoram,age_30_33,15,12.2955,11.5497,74.8444,71.8657,73.3942,,,,,,,11.1105,13.4153,8.3789,5.108,91.6211,94.892,,,
Mizoram,age_34_plus,15,36.4764,26.7065,71.0473,82.7618,76.856,,,,,,,4.7565,9.7881,13.8628,7.5651,86.1372,92.4349,,,
Mizoram,age_below10,15,94.6311,95.4273,0.0,0.0,0.0,0.9663,0.9653,0.2733,0.2295,26.2179,24.8787,0.0,0.0,74.6131,74.1417,25.3869,25.8583,25.9446,73.7821,75.1213
Tripura,age_10_13,16,39.9275,38.7377,1.835,0.924,1.369,1.6125,1.5932,1.7047,1.4911,9.8891,7.7038,0.0,0.0,6.9717,4.8272,93.0283,95.1728,8.1844,90.1109,92.2962
Tripura,age_14_17,16,11.3193,9.0209,10.8914,3.0678,6.8189,3.4528,3.8102,11.4982,12.3788,27.521,21.6179,0.0,0.0,9.2369,4.4826,90.7631,95.5174,16.0228,72.479,78.3821
Tripura,age_18_21,16,15.6753,11.0546,53.5816,21.7664,38.7352,4.6887,5.4663,30.609,33.5796,62.589,46.6381,0.0,0.0,14.3009,5.6391,85.6991,94.3609,31.98,37.411,53.3619
Tripura,age_22_25,16,18.388,12.9476,77.0108,58.6183,68.2161,,,,,,,2.4098,2.9583,17.122,7.0215,82.878,92.9785,,,
Tripura,age_26_29,16,22.5676,15.9657,86.5388,79.3281,82.9147,,,,,,,3.2107,4.4291,22.826,9.265,77.174,90.735,,,
Tripura,age_30_33,16,24.5216,17.9311,90.0948,90.103,90.099,,,,,,,2.2144,3.7974,26.4277,10.7702,73.5723,89.2298,,,
Tripura,age_34_plus,16,36.0417,29.7561,77.4259,91.8186,84.7721,,,,,,,1.009,2.2001,52.3715,24.0811,47.6285,75.9189,,,
Tripura,age_below10,16,96.0824,96.2686,0.0,0.0,0.0,0.5365,0.5702,0.3832,0.3847,32.0693,31.2715,0.0,0.0,74.0656,73.7354,25.9344,26.2646,31.6861,67.9307,68.7285
Meghalaya,age_10_13,17,52.9482,58.4495,1.987,0.7887,1.3834,4.5656,4.4025,2.4455,3.701,12.9481,16.4461,0.0,0.0,12.5661,15.7827,87.4339,84.2173,10.5026,87.0519,83.5539
Meghalaya,age_14_17,17,18.1317,24.9892,9.3737,2.2126,5.7673,7.0796,7.2652,11.5354,19.2104,21.1956,28.3453,0.0,0.0,9.0119,12.7272,90.9881,87.2728,9.6602,78.8044,71.6547
Meghalaya,age_18_21,17,17.1021,20.7627,37.0317,12.8577,25.2285,7.5401,8.4167,27.2662,35.5368,43.554,43.5825,0.0,0.0,12.9325,15.0611,87.0675,84.9389,16.2878,56.446,56.4175
Meghalaya,age_22_25,17,20.648,21.9462,63.8399,44.0298,54.3007,,,,,,,6.4628,5.1335,16.9171,18.3459,83.0829,81.6541,,,
Meghalaya,age_26_29,17,24.5186,23.7943,75.804,67.2285,71.6211,,,,,,,10.6264,8.8631,22.3982,21.9879,77.6018,78.0121,,,
Meghalaya,age_30_33,17,26.7418,25.8172,81.6849,80.4803,81.0889,,,,,,,10.4006,9.5648,26.5405,24.8583,73.4595,75.1417,,,
Meghalaya,age_34_plus,17,34.9029,31.5371,69.2821,86.9079,77.9178,,,,,,,6.9204,6.5398,45.3259,34.7445,54.6741,65.2555,,,
Meghalaya,age_below10,17,93.2037,92.9417,0.0,0.0,0.0,1.9345,1.8337,1.2347,1.2959,36.2712,38.3293,0.0,0.0,80.5824,81.4284,19.4176,18.5716,35.0365,63.7288,61.6707
