state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Arunachal Pradesh,age_10_13,12,0.2235,0.4652,0.3947,0.6024,0.4513,0.0471,15.4479,18.4173,15.3266,24.3243,19.616,15.3846,84.5521,81.5827,84.6734,75.6757,80.384,84.6154
Arunachal Pradesh,age_14_17,12,3.4621,3.342,2.3947,4.2169,2.9673,0.1886,14.9151,11.179,13.5,16.129,18.2343,2.6316,85.0849,88.821,86.5,83.871,81.7657,97.3684
Arunachal Pradesh,age_18_21,12,31.1152,34.3454,26.1042,31.3253,27.54,10.8439,20.7471,11.854,17.9932,6.25,22.2798,0.0,79.2529,88.146,82.0068,93.75,77.7202,100.0
Arunachal Pradesh,age_22_25,12,32.1803,30.0614,32.4549,27.7108,32.0935,57.2843,25.9883,15.1376,19.0364,16.6667,24.8054,1.5831,74.0117,84.8624,80.9636,83.3333,75.1946,98.4169
Arunachal Pradesh,age_26_29,12,12.6759,11.6091,16.0236,10.8434,14.987,23.2438,30.8593,20.1353,20.5422,25.9259,23.6308,1.4986,69.1407,79.8647,79.4578,74.0741,76.3692,98.5014
Arunachal Pradesh,age_30_33,12,6.2567,5.7676,8.7527,5.4217,7.4935,2.7346,32.7698,25.7811,21.8578,24.0,25.7991,1.2146,67.2302,74.2189,78.1422,76.0,74.2009,98.7854
Arunachal Pradesh,age_34_plus,12,3.2851,3.1406,4.2371,4.2169,3.5006,0.3772,51.1473,52.671,30.2752,36.2832,32.8719,4.6385,48.8527,47.329,69.7248,63.7168,67.1281,95.3615
Arunachal Pradesh,age_below10,12,0.74,0.9687,0.9157,3.012,1.3811,0.7072,78.3691,79.5368,77.3801,82.6087,79.611,79.8077,21.6309,20.4632,22.6199,17.3913,20.389,20.1923
Nagaland,age_10_13,13,0.0997,0.1421,0.3609,0.1435,0.3632,0.0,15.6818,12.4794,11.3993,9.4828,35.3928,11.7647,84.3182,87.5206,88.6007,90.5172,64.6072,88.2353
Nagaland,age_14_17,13,1.5952,1.3548,2.2693,2.439,2.6723,0.089,10.989,9.1624,11.9904,6.1856,30.4096,9.5238,89.011,90.8376,88.0096,93.8144,69.5904,90.4762
Nagaland,age_18_21,13,15.5533,15.3506,20.1557,15.208,22.7969,6.4057,8.1081,10.1746,13.459,9.0909,31.0174,0.0,91.8919,89.8254,86.541,90.9091,68.9826,100.0
Nagaland,age_22_25,13,26.7198,27.643,32.2695,38.4505,29.2831,58.8078,12.4309,10.8915,12.4683,5.102,29.1708,0.8264,87.5691,89.1085,87.5317,94.898,70.8292,99.1736
Nagaland,age_26_29,13,20.0399,20.7946,19.5924,27.5466,17.9279,20.6406,8.8816,11.4659,12.4517,4.4248,28.6688,1.1364,91.1184,88.5341,87.5483,95.5752,71.3312,98.8636
Nagaland,age_30_33,13,13.1605,13.7087,10.7887,6.7432,11.0266,3.8256,11.9565,12.7983,13.6593,4.5872,30.3371,1.7341,88.0435,87.2017,86.3407,95.4128,69.6629,98.2659
Nagaland,age_34_plus,13,10.2692,9.0432,6.0824,2.8694,6.3824,1.2456,25.4848,24.5963,19.4809,5.6537,42.1023,2.5701,74.5152,75.4037,80.5191,94.3463,57.8977,97.4299
Nagaland,age_below10,13,0.5982,0.6863,0.8312,1.2912,0.8735,0.8897,76.8987,76.3122,75.3822,73.0435,84.8571,81.5217,23.1013,23.6878,24.6178,26.9565,15.1429,18.4783
Manipur,age_10_13,14,0.2122,0.2704,0.169,0.0,0.2221,0.0,11.3573,17.5055,7.0877,10.2941,15.7855,17.5,88.6427,82.4945,92.9123,89.7059,84.2145,82.5
Manipur,age_14_17,14,1.9095,1.6995,1.3918,1.1211,2.6171,0.8143,5.4201,11.5341,3.9874,5.7692,11.5666,3.0303,94.5799,88.4659,96.0126,94.2308,88.4334,96.9697
Manipur,age_18_21,14,19.2362,16.8812,15.822,11.8834,23.2725,11.4007,12.5749,13.8695,4.4093,4.3478,12.6769,0.0,87.4251,86.1305,95.5907,95.6522,87.3231,100.0
Manipur,age_22_25,14,25.7426,27.3203,27.7136,36.9955,33.3187,35.8306,11.0465,15.8379,4.6113,6.9444,13.1562,4.4944,88.9535,84.1621,95.3887,93.0556,86.8438,95.5056
Manipur,age_26_29,14,17.1146,19.0957,20.6435,31.1659,17.1894,26.2215,11.831,18.0812,5.4089,5.7143,13.6583,0.6494,88.169,81.9188,94.5911,94.2857,86.3417,99.3506
Manipur,age_30_33,14,11.7397,12.4791,13.8205,6.7265,9.0521,8.1433,17.2996,20.4261,6.2408,1.4925,15.1406,3.1008,82.7004,79.5739,93.7592,98.5075,84.8594,96.8992
Manipur,age_34_plus,14,10.5375,9.2643,9.429,3.5874,4.8581,3.2573,24.7805,31.542,15.7651,5.1136,26.6461,6.3361,75.2195,68.458,84.2349,94.8864,73.3539,93.6639
Manipur,age_below10,14,1.273,0.6992,0.8254,0.4484,0.7939,0.8143,76.1408,78.223,76.0751,77.2727,78.4531,74.1935,23.8592,21.777,23.9249,22.7273,21.5469,25.8065
Mizoram,age_10_13,15,0.3104,0.1166,0.1604,0.0,0.3737,0.0,24.986,2.3451,5.79,11.7647,23.2358,14.2857,75.014,97.6549,94.21,88.2353,76.7642,85.7143
Mizoram,age_14_17,15,5.8379,0.9863,1.2069,0.0,2.4165,0.6024,24.9573,1.2932,4.9356,21.7391,19.3344,0.0,75.0427,98.7068,95.0644,78.2609,80.6656,100.0
Mizoram,age_18_21,15,42.7477,19.8619,19.9764,31.0345,23.1938,17.4699,33.4135,1.5011,4.7081,0.0,14.2566,50.0,66.5865,98.4989,95.2919,100.0,85.7434,50.0
