state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Haryana,age_22_25,06,3.413,2.459,2.2362,0.3263,10.8909,2.137,18.0947,22.6899,11.9316,32.8584,5.7128,21.0521,12.012,14.2117,13.3265,2.0548,64.0176,11.4787,87.988,85.7883,86.6735,97.9452,35.9824,88.5213,14.3345,9.4047,15.8352,2.1445,15.9281,14.0068
Haryana,age_26_29,06,3.2028,2.0173,2.8632,0.0418,10.7246,2.4573,6.4928,9.953,2.1821,6.4611,0.9371,4.3037,19.943,14.6721,19.776,2.7225,70.8717,17.6797,80.057,85.3279,80.224,97.2775,29.1283,82.3203,15.6584,10.4227,17.2099,2.005,16.122,16.9046
Haryana,age_30_33,06,1.6878,2.9104,3.737,0.4076,12.4862,3.548,1.0644,2.5342,0.3511,0.7247,0.2533,0.8896,20.7358,18.5396,28.5591,2.0843,77.8266,24.7464,79.2642,81.4604,71.4409,97.9157,22.1734,75.2536,11.3924,9.6042,18.7747,3.2609,14.9615,19.0653
Haryana,age_34_plus,06,4.142,2.2215,5.2961,1.9172,12.7675,5.4475,0.479,0.7713,0.1043,0.1658,0.1156,0.2573,49.3,30.3974,59.814,9.0169,89.7314,50.7039,50.7,69.6026,40.186,90.9831,10.2686,49.2961,13.215,10.2353,16.2267,10.2645,11.5105,18.0356
Haryana,age_below10,06,95.288,95.6522,96.1761,95.0051,95.6868,96.3154,1.8095,1.1606,1.3448,1.0687,1.6348,0.8604,75.7306,73.5632,73.125,72.4206,82.2334,72.835,24.2694,26.4368,26.875,27.5794,17.7666,27.165,0.0,0.0,0.0,0.0,0.0,0.0
NCT of Delhi,age_10_13,07,28.7796,29.9076,31.9423,22.9425,38.8036,27.6108,2.2268,0.6245,2.3096,0.2958,2.4686,0.5637,3.1746,3.3754,4.3891,1.5679,8.2853,2.9239,96.8254,96.6246,95.6109,98.4321,91.7147,97.0761,9.2896,7.9108,9.2743,9.3363,8.0138,9.471
NCT of Delhi,age_14_17,07,2.7687,1.7754,2.5099,0.3992,5.3937,1.6517,14.4017,6.3411,17.8388,5.6247,23.5624,7.1562,4.6584,3.2424,4.0349,0.6678,9.5242,2.5975,95.3416,96.7576,95.9651,99.3322,90.4758,97.4025,40.8795,44.2299,43.674,43.2563,40.5198,42.2204
NCT of Delhi,age_18_21,07,2.9326,2.5456,1.6692,0.3503,3.7364,1.1766,33.7149,21.9545,37.979,35.1251,41.8937,33.5177,2.849,5.2556,5.7459,0.8873,13.744,3.3249,97.151,94.7444,94.2541,99.1127,86.256,96.6751,9.3842,9.6125,13.3449,2.0241,20.6238,7.3538
NCT of Delhi,age_22_25,07,1.1364,1.7429,1.5233,0.2668,3.8253,0.9925,19.563,27.1422,19.4602,35.4577,12.7922,29.2828,5.561,5.2804,8.9432,0.9834,19.7917,3.6615,94.439,94.7196,91.0568,99.0166,80.2083,96.3385,8.2645,6.7855,12.9792,1.7492,19.0826,5.927
NCT of Delhi,age_26_29,07,1.2645,1.532,1.775,0.1321,4.7265,0.8124,8.9074,18.827,5.1616,7.1406,2.9882,7.965,6.5025,5.6491,13.1394,0.5909,28.0566,4.2658,93.4975,94.3509,86.8606,99.4091,71.9434,95.7342,9.0622,7.8566,13.7574,1.8756,18.7327,6.4184
NCT of Delhi,age_30_33,07,1.0989,1.4455,2.1312,0.0987,5.8525,0.9977,3.0593,4.958,0.8905,0.8604,0.8801,1.3928,11.6505,6.2086,18.1237,0.7555,36.2267,5.1746,88.3495,93.7914,81.8763,99.2445,63.7733,94.8254,11.1264,7.408,14.111,2.5796,17.5064,6.5671
