state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female
Tamil Nadu,age_18_21,33,53.6887,51.7987,53.4936,51.2143,50.3542,49.2943,47.7716,51.33,46.7789,42.4109,51.8652,48.0836
Tamil Nadu,age_below10,33,1.4221,1.2878,1.3865,1.4735,1.4039,1.4258,1.2649,1.3187,1.3667,1.4377,1.2969,1.3925
Puducherry,age_10_13,34,2.3485,2.995,1.7791,1.7878,4.0391,1.4125,0.2987,0.7775,1.7377,1.1224,1.7348,1.6926
Puducherry,age_14_17,34,23.3372,26.8942,16.4566,19.5512,28.2353,15.9774,8.4224,17.4379,17.414,13.7249,22.6166,17.2776
Puducherry,age_18_21,34,50.601,46.7016,45.1446,46.4055,46.6036,39.3647,44.955,47.9038,44.1742,35.7348,47.7379,43.359
Puducherry,age_below10,34,0.8691,1.0633,1.0378,0.7227,1.0443,0.9592,0.9612,0.9933,1.0594,0.9936,0.9162,1.0397
Andaman & Nicobar Islands,age_10_13,35,4.4068,6.6027,4.7592,2.2727,7.001,2.7124,0.4619,1.4245,3.5479,2.4712,3.8736,3.3567
Andaman & Nicobar Islands,age_14_17,35,36.2712,35.7802,28.6124,15.9091,32.2194,18.3156,9.2899,21.9768,24.3381,16.9347,32.6666,23.1428
Andaman & Nicobar Islands,age_18_21,35,42.0339,40.8213,42.4312,36.9318,39.3928,33.3118,44.9169,49.1392,44.178,32.0947,44.5997,42.1119
Andaman & Nicobar Islands,age_below10,35,1.0169,1.0205,1.0894,0.8523,1.7316,0.8379,0.708,0.7788,1.1027,0.8073,0.979,1.0573
