state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Rajasthan,age_10_13,08,32.4701,31.115,36.9882,18.3044,48.6779,34.462,5.7327,1.7133,2.1076,0.7299,6.6498,2.5523,1.694,0.1742,5.546,1.7132,1.1379,0.2021,5.9925,3.9877,11.114,6.2809,13.8847,6.7007,2.4564,1.8661,21.9322,12.1447,7.2118,5.3043,94.0075,96.0123,88.886,93.7191,86.1153,93.2993,97.5436,98.1339,78.0678,87.8553,92.7882,94.6957,9.9602,10.9479,9.3057,17.7193,5.889,10.6865
Rajasthan,age_14_17,08,5.6645,4.774,7.8646,0.8001,14.8714,5.3412,27.6651,10.346,13.5903,3.9416,27.7156,10.8327,14.413,2.0691,29.5409,9.315,16.1814,3.1411,10.1761,4.1812,12.6494,5.5381,16.6741,6.1949,1.6383,1.1818,26.7035,12.6725,9.0701,6.2946,89.8239,95.8188,87.3506,94.4619,83.3259,93.8051,98.3617,98.8182,73.2965,87.3275,90.9299,93.7054,39.4336,40.5474,35.5621,38.341,27.0131,36.456
Rajasthan,age_18_21,08,4.1667,4.0241,6.9565,1.3594,12.1733,4.593,39.4203,41.944,36.1697,31.399,41.0545,47.4138,40.6373,23.4803,41.9205,47.1283,50.4016,39.092,15.493,4.3478,17.806,6.3701,25.8495,7.6428,1.4983,1.1705,36.4324,14.885,13.1366,8.2587,84.507,95.6522,82.194,93.6299,74.1505,92.3572,98.5017,98.8295,63.5676,85.115,86.8634,91.7413,22.9167,13.8162,21.0629,5.8656,21.2087,20.0811
Rajasthan,age_below10,08,91.9786,93.4563,93.8221,92.6471,94.0938,94.1707,2.2544,1.5157,1.71,1.1517,3.4958,1.835,1.5465,1.6036,2.8809,1.5648,1.2027,0.8712,71.4504,74.4318,73.9384,73.849,76.0433,74.4048,70.4657,70.9394,79.1286,77.171,73.0785,72.0674,28.5496,25.5682,26.0616,26.151,23.9567,25.5952,29.5343,29.0606,20.8714,22.829,26.9215,27.9326,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,age_10_13,09,37.8927,35.5016,36.8964,22.3209,46.1055,31.863,4.9788,2.477,2.2601,0.7555,3.441,1.2897,1.0259,0.2341,2.3206,0.7012,1.2905,0.3397,10.7869,9.239,17.7995,14.5385,11.2006,8.7141,5.1133,4.5263,24.0146,20.6209,9.1406,6.916,89.2131,90.761,82.2005,85.4615,88.7994,91.2859,94.8867,95.4737,75.9854,79.3791,90.8594,93.084,9.1223,11.2938,9.7361,17.82,7.8405,12.69
Uttar Pradesh,age_14_17,09,4.3555,5.4877,4.2253,1.6122,10.1363,3.2821,24.4005,8.0605,13.0658,3.4584,22.0929,6.3771,7.5878,1.2193,17.8347,3.8451,8.3906,1.239,10.425,7.9204,17.8385,13.9991,12.2885,8.3577,4.6687,3.2157,26.7932,22.078,8.4385,5.8902,89.575,92.0796,82.1615,86.0009,87.7115,91.6423,95.3313,96.7843,73.2068,77.922,91.5615,94.1098,40.0024,34.9315,39.067,36.1369,30.106,38.6589
Uttar Pradesh,age_18_21,09,2.4935,3.8645,2.3635,0.4838,6.4241,2.1048,44.5546,50.4318,39.2845,34.5998,47.765,49.4319,40.4598,19.6409,49.993,45.1246,48.6643,30.1298,16.7913,8.7001,21.2495,14.5726,18.9831,10.0858,4.433,3.3073,32.8624,24.2567,10.3718,6.4042,83.2087,91.2999,78.7505,85.4274,81.0169,89.9142,95.567,96.6927,67.1376,75.7433,89.6282,93.5958,24.1229,16.0027,21.3997,4.9801,20.5111,16.8559
Uttar Pradesh,age_below10,09,93.1498,90.8922,93.1612,91.6446,92.4143,93.2728,3.5182,1.97,1.8944,1.1617,2.5544,1.3335,1.3246,1.3852,2.0465,1.0998,1.5076,1.0319,75.0255,74.0518,76.1623,75.1133,74.2946,73.3961,72.0129,71.0769,78.653,77.4069,73.1835,72.7363,24.9745,25.9482,23.8377,24.8867,25.7054,26.6039,27.9871,28.9231,21.347,22.5931,26.8165,27.2637,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,age_10_13,10,34.5059,44.5018,45.8377,36.6959,52.6723,38.3897,2.5028,0.5113,1.7365,0.506,2.324,0.4903,1.5628,0.1971,1.2937,0.2606,1.6899,0.3193,10.962,8.9019,19.5722,14.7163,18.0125,13.3691,13.8539,11.432,24.0728,20.6826,14.8957,9.7915,89.038,91.0981,80.4278,85.2837,81.9875,86.6309,86.1461,88.568,75.9272,79.3174,85.1043,90.2085,10.9715,8.5153,7.3833,10.5263,5.7972,10.5018
Bihar,age_14_17,10,4.3321,9.7305,8.3215,5.5846,14.8564,4.6053,27.6742,5.1625,17.5209,3.1925,25.0806,5.0973,14.0848,2.2777,18.8163,2.4907,13.6744,2.7222,10.6452,6.5963,18.7348,16.1533,20.8895,14.61,11.0248,8.522,27.8615,23.8845,11.1111,9.2805,89.3548,93.4037,81.2652,83.8467,79.1105,85.39,88.9752,91.478,72.1385,76.1155,88.8889,90.7195,44.8857,33.483,36.3415,31.7627,28.0157,39.7368
Bihar,age_18_21,10,2.1978,5.7831,7.1608,1.1278,13.1259,2.0772,49.6094,48.062,46.3961,36.4013,52.3051,47.9746,45.7121,24.3101,56.0894,38.3303,47.814,26.3821,15.1515,9.751,28.6942,19.8908,33.6951,18.007,15.016,10.1983,39.4436,28.0971,14.899,11.8896,84.8485,90.249,71.3058,80.1092,66.3049,81.993,84.984,89.8017,60.5564,71.9029,85.101,88.1104,19.2308,13.9157,18.1563,8.6466,16.6419,11.8694
