CMPR_total_male,CMPR_total_female,state_code,state_name,age_bracket,CMPR_illiterate_male,CMPR_illiterate_female,CMPR_below_primary_male,CMPR_below_primary_female,CMPR_primary_male,CMPR_primary_female,CMPR_middle_male,CMPR_middle_female,CMPR_matric_male,CMPR_matric_female,CMPR_main_workers_male,CMPR_main_workers_female,CMPR_cultivators_male,CMPR_cultivators_female,CMPR_agri_labourers_male,CMPR_agri_labourers_female,CMPR_household_industry_male,CMPR_household_industry_female,CMPR_other_workers_male,CMPR_other_workers_female,CMPR_non_workers_male,CMPR_non_workers_female
5.3112,26.6766,10,BIHAR,age_14_17,6.3666,29.0049,5.6596,26.6296,5.2833,25.3176,5.0921,24.0703,4.5165,19.9015,4.7957,27.0845,5.0481,26.5743,5.2308,28.4777,5.5242,28.8502,3.7725,23.4547,8.7021,26.1657
48.8706,57.374,10,BIHAR,age_18_21,50.2347,56.692,50.2898,57.1583,51.9209,58.8754,51.3121,59.1388,48.4251,60.7498,48.213,55.9825,50.4931,56.8512,51.6884,56.4663,47.4805,54.2293,40.4354,54.6542,44.027,57.5129
1.129,2.2378,10,BIHAR,age_below10,1.148,2.3394,1.0532,2.0087,1.0444,1.9705,1.0347,1.9386,1.0906,1.8225,1.1207,2.4612,1.1203,2.575,1.1287,2.5593,1.2052,2.6644,1.0997,2.0574,1.2228,2.1083
0.4644,1.8162,11,SIKKIM,age_10_13,0.6228,3.2521,0.5973,1.7496,0.4221,1.2472,0.3076,0.6874,0.327,0.3796,0.3971,1.5053,0.5594,1.8858,0.3868,1.5397,0.8521,3.4743,0.3078,1.0232,0.9787,2.0534
4.2928,20.7112,11,SIKKIM,age_14_17,5.4171,22.7385,6.485,28.3179,5.5384,27.4934,3.7326,19.2036,1.9082,8.5263,4.0487,19.0592,5.2282,22.4826,5.4342,25.0522,4.6865,22.8097,3.3598,14.2106,5.1251,20.9853
25.8422,38.1792,11,SIKKIM,age_18_21,26.0465,36.9337,31.3016,39.6825,32.7912,41.7226,28.1071,43.8321,19.6596,38.9732,25.7681,36.9362,29.2028,39.8645,29.182,39.1701,27.2063,32.4773,23.8115,33.4475,22.8614,38.7335
0.8713,1.6765,11,SIKKIM,age_below10,0.7677,1.8989,0.9908,1.709,0.9986,1.8747,0.7332,1.4924,0.762,0.9916,0.8461,1.4698,0.918,1.721,0.8702,1.2526,1.0956,2.719,0.8037,1.1903,0.8666,1.7313
0.3989,1.2701,12,ARUNACHAL PRADESH,age_10_13,0.376,1.3408,0.2646,1.5968,0.3409,1.5516,0.4547,1.1504,0.4749,0.8698,0.3733,1.116,0.354,0.9815,0.5213,1.8012,0.5669,1.9324,0.3758,1.3236,0.39,1.441
2.9698,15.4768,12,ARUNACHAL PRADESH,age_14_17,3.1151,15.5266,3.5935,20.6631,3.4424,20.1148,3.5398,17.2831,2.5438,10.8726,2.7675,14.0943,3.0165,13.5949,3.1063,17.8193,2.9655,15.2778,2.5233,14.7235,3.4653,16.718
32.5393,51.5907,12,ARUNACHAL PRADESH,age_18_21,34.4756,52.5733,35.1416,52.2801,36.674,53.8201,35.7225,53.9326,29.0461,48.8681,32.4293,54.1438,37.6222,57.1276,32.0517,51.5743,31.3999,52.3551,27.9686,46.4951,28.9116,48.1558
0.9677,1.3282,12,ARUNACHAL PRADESH,age_below10,0.8126,1.2103,0.8944,1.3938,0.8689,1.5045,1.0074,1.4504,1.1334,1.4636,0.934,1.3387,0.8751,1.3056,0.8689,1.4162,1.2211,1.6908,0.9848,1.4004,0.9826,1.2759
0.1844,0.5927,13,NAGALAND,age_10_13,0.1779,0.7656,0.1432,0.6145,0.2119,0.615,0.193,0.5109,0.1976,0.3881,0.1904,0.4377,0.1161,0.3391,0.2845,1.0541,0.2351,0.7892,0.2526,0.6583,0.1379,0.9651
1.613,10.5089,13,NAGALAND,age_14_17,1.5742,10.4575,1.7086,12.5266,1.8381,13.0843,1.8896,11.7393,1.5225,7.491,1.6448,9.191,1.4183,8.6642,2.2369,14.4011,2.057,11.9504,1.8153,10.0268,1.2803,12.8283
17.0185,37.2119,13,NAGALAND,age_18_21,17.094,36.4756,17.3984,39.735,19.1121,41.6845,19.0047,40.8439,16.8421,34.5144,17.731,37.6267,17.9481,39.4844,20.2612,37.7823,17.2495,36.274,17.4274,31.3751,9.4996,36.0095
0.7445,1.6076,13,NAGALAND,age_below10,0.7439,1.5904,0.6639,1.596,0.7954,1.6732,0.7186,1.6003,0.7042,1.3646,0.7597,1.5846,0.7757,1.611,0.7629,1.9576,0.764,1.7193,0.7448,1.4307,0.5977,1.6625
0.216,0.594,14,MANIPUR,age_10_13,0.263,0.7783,0.1954,0.68,0.2057,0.6017,0.1806,0.5072,0.2131,0.4047,0.2103,0.5642,0.223,0.5641,0.139,0.5815,0.5995,0.7195,0.186,0.5226,0.2031,0.6182
1.7275,10.7764,14,MANIPUR,age_14_17,2.2222,13.1133,2.0843,13.7621,2.1951,13.0544,2.0134,11.9322,1.5497,7.3265,1.6932,9.7172,1.8257,9.7626,1.8657,12.3687,1.9257,10.2549,1.5437,8.995,1.8675,11.4951
