state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
Jharkhand,age_10_13,20,0.3703,0.4944,0.3551,0.4506,0.5658,0.3607,0.345,0.3728,1.0092,0.3564,0.4279,0.4431
Jharkhand,age_14_17,20,4.6058,5.6052,4.0217,4.3197,6.0778,3.8341,3.5151,4.2727,8.1895,3.4833,4.94,4.6918
Jharkhand,age_18_21,20,46.0511,45.3154,40.4086,37.6517,43.8279,36.9272,33.7008,40.9466,34.8866,32.3514,45.0097,39.5016
Jharkhand,age_below10,20,1.115,1.0256,1.0859,1.1485,1.0997,1.1176,1.129,1.0488,1.1792,1.134,1.0237,1.1207
Odisha,age_10_13,21,0.1019,0.1648,0.115,0.1197,0.2008,0.1051,0.0883,0.0872,0.3387,0.0966,0.1265,0.1386
Odisha,age_14_17,21,1.4146,1.8796,1.4623,1.1551,2.7909,1.2278,0.5672,0.9741,3.3412,0.9406,1.5314,1.5821
Odisha,age_18_21,21,27.9244,29.4008,27.5429,21.2292,34.8068,22.873,12.661,20.2135,27.445,16.5486,26.7087,24.3494
Odisha,age_below10,21,0.9953,0.954,0.9488,1.0869,0.8782,1.0071,1.0906,1.032,0.9169,1.0571,1.0003,0.9907
Chhattisgarh,age_10_13,22,1.2098,2.0244,1.3285,0.8949,1.9325,1.0295,0.4668,0.6871,3.2693,0.5812,1.1582,1.2265
Chhattisgarh,age_14_17,22,8.2939,11.0744,7.9672,5.934,11.0344,6.6429,2.9497,5.5248,14.0768,4.0834,8.0143,7.4588
Chhattisgarh,age_18_21,22,54.0443,52.7827,51.3162,41.0339,52.1899,44.9678,32.5892,49.0909,38.5934,31.9326,53.0588,45.5325
Chhattisgarh,age_below10,22,0.9583,1.2268,1.0212,1.1581,1.18,1.0142,0.9552,0.8104,1.7632,1.0378,0.961,1.0645
Madhya Pradesh,age_10_13,23,1.1827,1.5778,1.4027,1.1342,1.8435,1.1221,0.7306,0.9966,2.327,0.766,1.3134,1.2806
Madhya Pradesh,age_14_17,23,9.4336,11.02,10.5923,7.6736,12.5797,8.3332,5.2487,8.1268,13.177,5.1091,9.7123,9.0415
