state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Jharkhand,age_10_13,20,0.269,0.1529,0.4394,0.2382,0.3498,0.1086,8.2386,8.9855,7.6456,2.9126,10.441,3.5304,91.7614,91.0145,92.3544,97.0874,89.559,96.4696
Jharkhand,age_14_17,20,1.9216,1.3712,4.6903,1.1193,3.975,1.034,7.767,7.1901,8.1007,2.5586,12.0632,2.898,92.233,92.8099,91.8993,97.4414,87.9368,97.102
Jharkhand,age_18_21,20,19.9462,21.4657,39.1911,15.1465,40.645,14.1136,13.8889,9.1539,10.5929,4.9057,15.0336,2.3352,86.1111,90.8461,89.4071,95.0943,84.9664,97.6648
Jharkhand,age_below10,20,0.7302,0.9337,1.1222,1.3813,1.0108,1.2614,76.7296,76.3197,74.7398,74.2727,76.2805,70.5757,23.2704,23.6803,25.2602,25.7273,23.7195,29.4243
Odisha,age_10_13,21,0.0913,0.1208,0.1178,0.0395,0.1102,0.1649,8.2942,10.6186,7.0293,2.6471,6.9445,4.2735,91.7058,89.3814,92.9707,97.3529,93.0555,95.7265
Odisha,age_14_17,21,1.0956,1.6393,1.3001,0.8304,1.1817,0.8244,3.6765,10.6782,7.1684,2.9032,7.7408,3.2043,96.3235,89.3218,92.8316,97.0968,92.2592,96.7957
Odisha,age_18_21,21,17.4985,27.3898,22.2339,13.6022,19.1243,12.5474,4.7273,13.4974,8.3914,1.8072,8.4007,2.439,95.2727,86.5026,91.6086,98.1928,91.5993,97.561
Odisha,age_below10,21,1.4912,0.8063,0.9603,1.5026,1.1511,1.1871,75.1315,75.4682,73.9577,71.224,73.4714,72.2674,24.8685,24.5318,26.0423,28.776,26.5286,27.7326
Chhattisgarh,age_10_13,22,0.3517,0.1462,1.0819,0.1282,0.3338,0.1772,1.4203,3.4151,6.0263,1.4092,4.2232,2.0275,98.5797,96.5849,93.9737,98.5908,95.7768,97.9725
Chhattisgarh,age_14_17,22,2.5298,1.7936,6.6901,0.9437,2.8031,0.9121,1.4851,3.5756,6.4,1.0821,3.9879,1.7761,98.5149,96.4244,93.6,98.9179,96.0121,98.2239
Chhattisgarh,age_18_21,22,23.1877,30.2347,43.5388,12.3027,28.0422,14.25,1.8122,4.7479,7.56,0.9416,5.0513,2.1898,98.1878,95.2521,92.44,99.0584,94.9487,97.8102
Chhattisgarh,age_below10,22,0.8735,0.7328,0.9895,1.2408,0.9352,1.204,71.0776,72.8119,74.5083,70.9895,73.6878,69.9391,28.9224,27.1881,25.4917,29.0105,26.3122,30.0609
Madhya Pradesh,age_10_13,23,0.5719,0.4276,1.1841,0.1946,0.4751,0.2502,3.8294,8.3211,7.4774,2.1488,8.3139,4.9052,96.1706,91.6789,92.5226,97.8512,91.6861,95.0948
Madhya Pradesh,age_14_17,23,3.8339,3.1274,8.4138,1.5567,3.8244,1.6467,3.8204,8.3291,8.2565,1.3387,9.962,4.5965,96.1796,91.6709,91.7435,98.6613,90.038,95.4035
Madhya Pradesh,age_18_21,23,33.0059,29.1051,49.781,18.2443,37.8796,24.6556,5.1945,8.9629,9.9887,1.324,11.7758,5.7593,94.8055,91.0371,90.0113,98.676,88.2242,94.2407
