state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Assam,age_10_13,18,28.3492,29.5684,1.8691,0.7703,1.3083,2.2421,2.3977,1.4646,2.5626,12.2202,11.9298,6.9801,6.143,93.0199,93.857,10.7556,87.7798,88.0702
Assam,age_14_17,18,8.0206,9.2263,19.201,2.9582,10.7348,3.3721,4.4442,7.0378,19.7702,32.1593,35.824,8.3156,6.8062,91.6844,93.1938,25.1215,67.8407,64.176
Assam,age_18_21,18,10.314,11.665,64.8957,20.52,42.4861,2.7016,5.0198,16.1586,43.8457,65.9775,62.5863,12.3393,8.5576,87.6607,91.4424,49.8189,34.0225,37.4137
Assam,age_below10,18,93.2597,93.4088,0.0,0.0,0.0,1.1131,1.0955,0.4555,0.5512,31.8882,31.675,72.5628,72.4665,27.4372,27.5335,31.4326,68.1118,68.325
West Bengal,age_10_13,19,31.2608,32.5565,2.2856,1.3592,1.812,1.4949,1.6433,1.4313,2.5359,11.9046,11.705,7.3524,6.348,92.6476,93.652,10.4733,88.0954,88.295
West Bengal,age_14_17,19,11.4434,12.6029,31.0667,4.7744,17.1826,2.3091,3.4775,7.5958,19.7823,32.8441,35.5225,10.2806,7.7622,89.7194,92.2378,25.2482,67.1559,64.4775
West Bengal,age_18_21,19,16.7913,16.3379,80.4493,32.623,56.1212,2.1077,4.7542,16.156,45.4361,69.8208,61.6544,16.6632,10.0594,83.3368,89.9406,53.6648,30.1792,38.3456
West Bengal,age_below10,19,93.7522,94.0086,0.0,0.0,0.0,0.6746,0.7253,0.4158,0.5217,33.5032,33.3666,72.095,72.0313,27.905,27.9687,33.0874,66.4968,66.6334
Jharkhand,age_10_13,20,46.7836,45.1192,2.3077,1.3302,1.8023,3.3448,3.4645,2.7962,2.9291,17.9884,14.6972,16.0736,11.8079,83.9264,88.1921,15.1922,82.0116,85.3028
Jharkhand,age_14_17,20,9.9963,8.5022,31.1096,6.0705,17.3829,4.3285,5.7062,12.889,18.3935,36.8803,31.908,22.3274,13.8599,77.6726,86.1401,23.9913,63.1197,68.092
