state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Goa,age_14_17,30,1.7278,3.7661,6.7753,5.1406,3.8607,10.7218,1.6366,98.3634,89.2782
Goa,age_18_21,30,2.0383,11.4636,21.847,8.3433,18.1238,33.2136,2.0758,97.9242,66.7864
Goa,age_below10,30,95.6226,0.0,0.0,2.6325,1.0881,26.7989,71.8767,28.1233,73.2011
Lakshadweep,age_10_13,31,30.8433,0.5766,1.3003,0.5348,0.2674,2.8966,2.7629,97.2371,97.1034
Lakshadweep,age_14_17,31,1.3551,1.5561,4.8535,1.2512,1.2048,6.5338,0.8341,99.1659,93.4662
Lakshadweep,age_18_21,31,1.711,8.0734,26.9783,1.306,7.6493,37.5933,1.8657,98.1343,62.4067
Lakshadweep,age_below10,31,97.3802,0.0,0.0,0.5939,0.1485,17.706,74.6682,25.3318,82.294
Kerala,age_10_13,32,32.034,0.5552,0.9488,0.7396,1.2244,7.1514,3.4633,96.5367,92.8486
Kerala,age_14_17,32,8.5524,2.1152,8.3643,1.7923,14.428,26.3313,3.4817,96.5183,73.6687
Kerala,age_18_21,32,10.6159,21.0195,42.2,2.4471,48.0157,61.1005,4.6913,95.3087,38.8995
Kerala,age_below10,32,95.7899,0.0,0.0,0.4929,0.2556,25.9766,71.7795,28.2205,74.0234
Tamil Nadu,age_10_13,33,16.0228,0.7979,1.4144,1.7722,4.0829,13.8526,8.0318,91.9682,86.1474
Tamil Nadu,age_14_17,33,3.5132,3.8372,14.1501,2.5033,26.569,39.7005,10.6803,89.3197,60.2995
Tamil Nadu,age_18_21,33,4.0421,37.1072,58.4695,2.7108,54.5069,67.4112,15.065,84.935,32.5888
Tamil Nadu,age_below10,33,90.6778,0.0,0.0,1.3233,1.0596,24.301,73.6765,26.3235,75.699
Andaman & Nicobar Islands,age_10_13,35,29.9435,0.9098,1.1285,2.935,1.782,9.8532,7.2327,92.7673,90.1468
Andaman & Nicobar Islands,age_14_17,35,2.3631,1.7323,4.864,2.5176,9.7684,24.2699,6.2437,93.7563,75.7301
Andaman & Nicobar Islands,age_18_21,35,3.5503,17.5133,30.1196,5.2632,23.8722,46.9925,4.6992,95.3008,53.0075
Andaman & Nicobar Islands,age_below10,35,94.572,0.0,0.0,1.0292,1.2864,38.5077,81.47,18.53,61.4923
