state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Kerala,age_18_21,32,4.2815,9.9459,29.5445,2.4446,28.4851,43.8031,0.8477,99.1523,56.1969
Kerala,age_below10,32,95.8659,0.0,0.0,0.4923,0.2229,22.4454,70.856,29.144,77.5546
Tamil Nadu,age_10_13,33,11.6077,0.6885,1.2892,1.5497,1.3693,5.1247,2.2222,97.7778,94.8753
Tamil Nadu,age_14_17,33,0.9388,2.3237,8.3545,2.5711,13.7605,23.2778,1.9658,98.0342,76.7222
Tamil Nadu,age_18_21,33,1.3701,19.7271,39.9983,2.9934,38.9782,54.2825,2.8477,97.1523,45.7175
Tamil Nadu,age_below10,33,90.4335,0.0,0.0,1.133,0.436,17.918,71.2281,28.7719,82.082
Puducherry,age_10_13,34,12.1396,1.1225,1.4499,0.7176,0.7432,3.716,2.6781,97.3219,96.284
Puducherry,age_14_17,34,0.6052,2.1246,6.9771,1.0647,5.5792,14.2675,1.4764,98.5236,85.7325
Puducherry,age_18_21,34,0.8538,16.0859,33.4373,1.4532,23.9236,43.4607,2.2874,97.7126,56.5393
Puducherry,age_below10,34,92.1932,0.0,0.0,0.5978,0.1917,14.9673,72.5681,27.4319,85.0327
