state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Sikkim,age_10_13,11,39.1934,41.2261,41.6965,14.2857,51.2545,11.1111,0.7865,1.1973,1.7045,1.2987,4.3098,0.5525,4.1487,4.6218,5.5533,12.5,14.1538,10.0,95.8513,95.3782,94.4467,87.5,85.8462,90.0,7.5604,6.2775,6.6399,28.5714,3.5842,0.0
Sikkim,age_14_17,11,10.2698,14.4511,12.1055,0.0,11.0345,11.7647,14.2905,20.6407,19.9337,11.6883,29.4191,8.8398,3.5271,3.9799,5.4628,0.0,11.0429,5.5556,96.4729,96.0201,94.5372,100.0,88.9571,94.4444,36.3549,32.711,34.2501,33.3333,31.7241,41.1765
Sikkim,age_18_21,11,10.8942,13.065,10.9256,25.0,14.4828,0.0,33.126,32.5309,34.5705,37.6623,37.664,17.1271,4.1757,4.5822,6.5384,20.0,14.2012,0.0,95.8243,95.4178,93.4616,80.0,85.7988,100.0,25.7216,25.1412,25.6226,0.0,17.931,0.0
Sikkim,age_below10,11,93.6811,94.2875,94.488,100.0,95.1691,90.0,1.4014,1.3374,1.5504,0.0,1.9988,0.5525,68.3292,69.576,69.5648,75.0,74.5387,72.973,31.6708,30.424,30.4352,25.0,25.4613,27.027,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,age_10_13,12,47.8366,45.1729,44.2196,39.3939,41.5385,33.3333,0.7976,1.2143,1.4687,0.9852,2.5513,0.3876,21.0949,21.6966,19.5769,31.25,23.2516,21.0526,78.9051,78.3034,80.4231,68.75,76.7484,78.9474,5.2831,7.2844,7.1444,12.1212,6.6272,10.0
Arunachal Pradesh,age_14_17,12,10.652,10.7551,10.0166,6.6667,9.5775,9.375,14.1362,13.959,15.9143,17.2414,18.4759,11.2403,21.6547,16.1417,18.1161,16.6667,22.4891,15.7895,78.3453,83.8583,81.8839,83.3333,77.5109,84.2105,35.978,34.3721,35.2204,36.6667,32.6761,40.625
Arunachal Pradesh,age_18_21,12,8.8602,6.5135,8.4792,6.6667,8.1006,6.25,44.1156,45.9971,45.7974,45.3202,41.2206,34.8837,34.6143,21.2074,26.0318,25.0,28.2565,15.7895,65.3857,78.7926,73.9682,75.0,71.7435,84.2105,28.228,25.7016,23.213,13.3333,17.8771,18.75
Arunachal Pradesh,age_below10,12,95.5304,93.4207,94.8022,100.0,92.2813,86.3636,0.8891,1.2343,1.2692,0.0,1.4674,0.7752,79.852,80.4337,78.4189,81.4815,80.264,79.0476,20.148,19.5663,21.5811,18.5185,19.736,20.9524,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,age_10_13,13,42.1053,36.7568,39.5864,18.6813,50.2949,25.0,0.8738,0.3491,1.7652,1.6438,2.9727,1.4493,17.5799,13.0837,12.5448,6.1856,42.2103,4.0,82.4201,86.9163,87.4552,93.8144,57.7897,96.0,3.6011,8.131,8.6624,14.2857,5.7287,8.3333
Nagaland,age_14_17,13,7.5949,7.7311,10.3198,4.6512,15.8784,0.0,10.1942,8.2402,18.2793,11.5068,26.2236,6.7633,12.7072,9.8864,11.991,7.5269,37.7715,14.2857,87.2928,90.1136,88.009,92.4731,62.2285,85.7143,40.8228,43.6075,43.2623,43.0233,36.8243,44.4444
