state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Manipur,age_22_25,14,3.5705,66.1419,58.9943,,,,13.4655,86.5345,,
Manipur,age_26_29,14,3.3748,,,,,,17.5222,82.4778,,
Manipur,age_30_33,14,3.9048,80.8597,80.0078,,,,20.354,79.646,,
Manipur,age_34_plus,14,7.202,76.8028,83.5653,,,,53.3199,46.6801,,
Manipur,age_below10,14,90.7987,0.0,0.0,0.6801,0.5739,33.3262,75.8298,24.1702,32.7524,66.6738
Mizoram,age_10_13,15,25.0,2.5641,1.0101,3.3333,0.0,10.0,6.6667,93.3333,10.0,90.0
Mizoram,age_14_17,15,5.7143,26.5306,15.0943,14.2857,0.0,5.7143,0.0,100.0,5.7143,94.2857
Mizoram,age_18_21,15,9.5238,52.0833,28.4722,0.0,17.3913,34.7826,8.6957,91.3043,17.3913,65.2174
Mizoram,age_22_25,15,4.6512,87.5,60.0,,,,10.4167,89.5833,,
Mizoram,age_26_29,15,11.1111,,,,,,6.25,93.75,,
Mizoram,age_30_33,15,3.0303,97.1429,83.3333,,,,5.7143,94.2857,,
Mizoram,age_34_plus,15,15.4762,86.1702,90.0744,,,,10.6383,89.3617,,
Mizoram,age_below10,15,92.0,0.0,0.0,0.0,0.0,29.0909,74.2268,25.7732,29.0909,70.9091
Tripura,age_10_13,16,33.5512,1.6271,1.2124,0.6657,0.4383,4.759,1.9557,98.0443,4.3207,95.241
Tripura,age_14_17,16,6.6675,26.2487,14.5478,1.2183,2.9926,21.6599,2.1382,97.8618,18.6672,78.3401
Tripura,age_18_21,16,11.2946,69.9021,46.6962,1.5087,8.4013,61.8333,3.4606,96.5394,53.432,38.1667
Tripura,age_22_25,16,15.592,86.0998,71.8836,,,,3.9744,96.0256,,
Tripura,age_26_29,16,21.4188,,,,,,5.2193,94.7807,,
Tripura,age_30_33,16,25.583,89.405,86.0169,,,,7.3084,92.6916,,
Tripura,age_34_plus,16,40.8587,68.9828,81.5126,,,,28.8099,71.1901,,
Tripura,age_below10,16,97.639,0.0,0.0,0.3002,0.1787,27.1457,71.1925,28.8075,26.9671,72.8543
Meghalaya,age_10_13,17,48.1089,1.4315,1.0422,1.6352,1.5094,20.6289,16.8553,83.1447,19.1195,79.3711
Meghalaya,age_14_17,17,16.3823,20.1595,11.1749,3.1206,7.0922,30.7801,16.8794,83.1206,23.6879,69.2199
Meghalaya,age_18_21,17,11.5385,59.1813,39.1084,4.2135,11.236,48.0337,19.6629,80.3371,36.7978,51.9663
